Timestep,RoGonDor,DolAmroth,Harad
0,7.9999999992000025983,7.9999999992000017102,81.517915973028550525
1,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
2,2.7074999989169996617,7.9999999992000017102,81.517915973028550525
3,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
4,2.7074999989169996617,7.2199999992780021785,81.517915973028550525
5,2.7074999989169996617,7.2199999992780021785,81.517915973028550525
6,2.7074999989169996617,7.2199999992780021785,81.517915973028550525
7,2.9999999987999999007,7.9999999992000017102,90.324560634934684344
8,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
9,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
10,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
11,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
12,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
13,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
14,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
15,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
16,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
17,2.7074999989169996617,2.7074999989169996617,61.134850191468615321
18,2.7074999989169996617,2.7074999989169996617,61.134850191468615321
19,2.9999999987999999007,2.9999999987999999007,67.7394461955330911
20,2.9999999987999999007,2.9999999987999999007,67.7394461955330911
21,2.7074999989169996617,2.7074999989169996617,61.134850191468615321
22,2.7074999989169996617,2.7074999989169996617,61.134850191468622427
23,2.9999999987999999007,2.9999999987999999007,81.517915973028564736
24,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
25,2.7074999989169996617,2.7074999989169996617,81.517915973028550525
26,2.7074999989169996617,2.7074999989169996617,81.517915973028564736
27,2.9999999987999999007,2.9999999987999999007,81.517915973028564736
28,7.9999999992000025983,7.9999999992000017102,81.517915973028550525
29,2.7074999989169996617,7.9999999992000017102,81.517915973028550525
30,2.7074999989169996617,7.9999999992000017102,81.517915973028550525
31,2.9999999987999999007,7.9999999992000017102,90.324560634934684344
32,2.9999999987999999007,7.9999999992000017102,81.517915973028550525
33,2.2498679991000525291,7.9999999992000017102,81.517915973028550525
34,2.2498679991000525291,7.9999999992000017102,81.517915973028550525
35,2.4929285308587840753,7.9999999992000017102,90.324560634934684344
36,2.4929285308587840753,7.9999999992000017102,81.517915973028550525
37,2.2498679991000525291,7.9999999992000017102,81.517915973028550525
38,2.2498679991000525291,2.2498679991000525291,81.517915973028550525
39,2.4929285308587840753,2.4929285308587840753,90.324560634934684344
40,2.4929285308587840753,2.4929285308587840753,81.517915973028550525
41,2.2498679991000529732,2.2498679991000529732,81.517915973028550525
42,2.2498679991000525291,2.2498679991000525291,81.517915973028550525
43,2.4929285308587840753,2.4929285308587840753,90.324560634934684344
44,2.4929285308587840753,2.4929285308587840753,81.517915973028550525
45,2.2498679991000529732,2.2498679991000525291,73.569919165658276938
46,2.2498679991000529732,2.2498679991000529732,73.569919165658276938
47,2.4929285308587840753,2.4929285308587840753,81.517915973028550525
48,2.2498679991000525291,2.2498679991000525291,81.517915973028550525
49,2.2498679991000525291,2.2498679991000525291,7.999999999200000822
50,2.2498679991000529732,2.2498679991000529732,7.9999999992000017102
51,2.9999999987999999007,2.9999999987999999007,81.517915973028564736
52,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
53,2.9999999987999999007,2.9999999987999999007,73.569919165658276938
54,2.9999999987999999007,2.9999999987999999007,81.517915973028550525
55,2.9999999987999999007,2.9999999987999999007,81.517915973028564736
56,7.9999999992000025983,7.9999999992000017102,81.517915973028550525
