,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2031-04-29 06:00:00,1215.935716687707,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,8149.3061499999985,4080.7094553773613,7923.9106224449715,1807.1872,11208.325613333334,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-29 12:00:00,0.0,2202.72,71.5403520000006,0.0,0.0,0.0,27797.477425331705,0.0,0.0,6351.601199999999,3180.5209666379023,6175.927041127818,1648.7808,10225.875920000002,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-29 18:00:00,5051.570020527874,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,55.60445,27.84354897208722,54.06652835225859,1556.4832,9653.438513333334,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-30 00:00:00,1472.6945945619243,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,67.9268999999995,34.01393173877386,66.04816097868127,916.896,5686.665400000001,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-30 06:00:00,9671.453916336268,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,7876.427675000001,3944.0674207543952,7658.579487880946,636.2784,3946.25166,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-30 12:00:00,0.0,2202.72,71.5403520000006,0.0,0.0,0.0,15386.067356614,0.0,0.0,7196.0968125,3603.3963829644117,6997.065384850113,1798.6064,11155.106776666667,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-04-30 18:00:00,2904.8088389264817,2202.72,71.5403520000006,0.0,0.0,0.0,9183.219153970382,0.0,0.0,106.55769999999973,53.35804127732541,103.61050074591986,3269.7568,20279.30415333333,0.0,0.0,0.0,6672.606599697016,0.0,0.0,0.0,0.0,0.0
2031-05-01 00:00:00,4257.801144835801,2202.72,71.5403520000006,0.0,0.0,0.0,22500.0,0.0,0.0,56.67035,28.377291124906932,55.102947426103796,3080.4112,19104.966963333336,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-01 06:00:00,0.0,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,8307.362162499998,4159.854925288073,8077.595082610948,1053.0416,6531.051756666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-01 12:00:00,125.01068135304378,2202.72,71.5403520000006,0.0,0.0,0.0,22493.416322140234,0.0,0.0,7940.987299999999,3976.395212510399,7721.353506785434,878.2383999999998,5446.907743333334,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-01 18:00:00,0.0,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,104.9467375,52.55136279635979,102.04409464567655,1290.6368,8004.636986666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-02 00:00:00,8590.855781552753,2202.72,71.5403520000006,0.0,0.0,0.0,22500.0,0.0,0.0,21.503725,10.767843583018822,20.908969648862126,415.3792,2576.216413333333,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-02 06:00:00,22104.549625840875,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,3499.4425624999994,1752.3219879699486,3402.6541135198113,212.0816,1315.3477566666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-02 12:00:00,8824.414172751476,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,4279.7378875,2143.0495483419754,4161.367837192059,311.3216,1930.8425066666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-02 18:00:00,4002.1903167838345,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,14.159512500000002,7.090279280068858,13.767885196875607,990.9168,6145.74857,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-03 00:00:00,379.043108500765,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,35.57037499999975,17.81162259977416,34.5865607597588,867.7664,5381.959526666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-03 06:00:00,8554.409247421372,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,6494.359124999999,3252.006023605304,6314.736532086224,1057.8031999999998,6560.583596666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-03 12:00:00,10603.941533782909,2202.72,71.5403520000006,0.0,0.0,0.0,7500.0,0.0,0.0,8657.8979125,4335.38331054487,8418.435628032317,2206.5664,13685.308693333332,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-03 18:00:00,3326.2150441149624,2202.72,71.5403520000006,0.0,0.0,0.0,26033.344144465762,0.0,0.0,129.15558749999948,64.67377926721615,125.58337027740319,1941.536,12041.568066666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-04 00:00:00,6968.641306686935,2202.72,71.5403520000006,0.0,0.0,0.0,22500.0,0.0,0.0,63.966112499999504,32.030594420910404,62.19692192018826,1743.2384,10811.709826666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-04 06:00:00,186.5552106682054,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,9225.299899999998,4619.505984644082,8970.14427085311,555.9936,3448.3186400000004,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-04 12:00:00,2660.149094293453,2202.72,71.5403520000006,0.0,0.0,0.0,11199.900685968194,0.0,0.0,8084.379112499999,4048.197684318682,7860.779353026392,328.4304,2036.95271,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-04 18:00:00,14505.947809550402,2202.72,71.5403520000006,0.0,0.0,0.0,7500.0,0.0,0.0,70.9953999999995,35.55046217870898,69.03179164581141,581.6848,3607.6576033333336,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-05 00:00:00,19176.894434764683,2202.72,71.5403520000006,0.0,0.0,0.0,7500.0,0.0,0.0,69.711475,34.90754549463118,67.78337776140697,1288.5248,7991.538186666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-05 06:00:00,22824.744756923654,2202.72,71.5403520000006,0.0,0.0,0.0,0.0,0.0,0.0,8694.320199999998,4353.621522516783,8453.850538885188,976.8848,6058.720936666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-05 12:00:00,4064.918219267966,2202.72,71.5403520000006,0.0,0.0,0.0,0.0,0.0,0.0,8978.7863,4496.065981301085,8730.448805047457,806.5952000000002,5002.570646666667,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-05 18:00:00,8626.079882123648,2202.72,71.5403520000006,0.0,0.0,0.0,7500.0,0.0,0.0,99.1892625,49.66834647090242,96.44586131498232,2111.3008,13094.463503333334,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-06 00:00:00,2304.254958958411,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,54.062124999999995,27.071240250961935,52.566861359043166,2421.4672,15018.141363333334,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-06 06:00:00,4147.163409506656,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,6578.4239124999995,3294.10089240779,6396.476234876112,1609.4895999999999,9982.188623333332,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-06 12:00:00,198.16004077146656,2202.72,71.5403520000006,0.0,0.0,0.0,24943.734170458596,0.0,0.0,7507.553599999999,3759.356244368406,7299.90782339365,1997.0192,12385.679496666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-06 18:00:00,0.0,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,81.8845375,41.003123489900084,79.61975468429831,2078.608,12891.700033333333,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-07 00:00:00,12933.529794981121,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,49.818712500000004,24.94638039257783,48.44081421278817,1669.2096,10352.57704,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-07 06:00:00,7673.831173200628,2202.72,71.5403520000006,0.0,0.0,0.0,29489.68258898225,0.0,0.0,6575.4684625,3292.620970984063,6393.602527444088,2150.216,13335.818816666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-07 12:00:00,1561.1299020055042,2202.72,71.5403520000006,0.0,0.0,0.0,16984.177263033038,0.0,0.0,6500.302325,3254.982040457389,6320.515353588875,2873.0576,17818.942656666666,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-07 18:00:00,2646.160185703614,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,60.1789375,30.134192377938007,58.514493544177625,1738.1952,10780.43148,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-08 00:00:00,6716.6359110309395,2202.72,71.5403520000006,0.0,0.0,0.0,30000.0,0.0,0.0,102.33851250000001,51.24531192241462,99.5080085786159,946.5648000000001,5870.67377,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-08 06:00:00,2701.3048272725873,2202.72,71.5403520000006,0.0,0.0,0.0,29822.68421371628,0.0,0.0,8424.748437499999,4218.635301617905,8191.7346589479785,1327.736,8234.729316666668,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-08 12:00:00,2587.338844680306,2202.72,71.5403520000006,0.0,0.0,0.0,5175.355818549822,0.0,0.0,9134.6620625,4574.119705899211,8882.013317107841,1991.28,12350.0845,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-08 18:00:00,6859.859223078993,2202.72,71.5403520000006,0.0,0.0,0.0,6859.859223078992,0.0,0.0,156.5459874999995,78.38933519421576,152.21619981136502,1991.9184,12354.043910000002,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-09 00:00:00,5599.6506164755865,2202.72,71.5403520000006,0.0,0.0,0.0,19517.244995593133,0.0,0.0,155.15305,77.6918312445085,150.86178852168115,1595.6607999999999,9896.421253333332,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
2031-05-09 06:00:00,4264.055320255646,2202.72,71.5403520000006,0.0,0.0,0.0,14357.202760963863,0.0,0.0,10463.3306375,5239.441429892273,10173.93324763485,2033.9872,12614.958113333334,0.0,0.0,0.0,8497.858497957237,0.0,0.0,0.0,0.0,0.0
