,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2030-07-02 00:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,40851.411175080146,0.0,240000.0,23.6976182667684,1137.8901014710736,974.2218928692148,802.3003823628796,449.0386990361301,923.978054451382,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,-3069.6470097652036,0.0
2030-07-02 06:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,55007.83518526611,0.0,240000.0,23.6976182667684,78535.19236172576,67239.09774816979,55373.37461613983,30991.868688435054,765.2559799607318,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,-2368.0131902820735,0.0
2030-07-02 12:00:00,27778.14137138821,2814.849686358438,10700.231703475554,0.0,4477.419258503101,0.0,240000.0,23.6976182667684,81629.63078261606,69888.44820114376,57555.19263623603,32213.00823518708,1526.2916258680011,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-02 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,88604.35556193464,0.0,240000.0,23.6976182667684,2495.3751547896645,2136.453339013246,1759.4321615403203,984.7348277880399,1214.449579571,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,389.3937144820042,0.0,0.0
2030-07-03 00:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,1824.5785398683856,0.0,240000.0,23.6976182667684,1100.8518134956837,942.5110000744091,776.1855294730435,434.4225031262696,937.5769086236488,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-03 06:00:00,24258.992366474187,2814.849686358438,10700.231703475554,0.0,1301.7725000626394,0.0,240000.0,23.6976182667684,74405.65038833287,63703.52766736795,52461.7286672442,29362.25247773935,589.9964483272558,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,-327.5645712664362,0.0
2030-07-03 12:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,27222.96489742199,0.0,240000.0,23.6976182667684,71285.37904868295,61032.05996864259,50261.696444764486,28130.91864226198,2032.6754411627408,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-03 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,0.0,240000.0,23.6976182667684,1821.4176236333215,1559.4343625165197,1284.240063248895,718.7750372908731,1764.118391387396,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,2408.079532121213,0.0,0.0
2030-07-04 00:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,3579.626965625612,0.0,240000.0,23.6976182667684,874.5639249003699,748.7711873493499,616.6350954641671,345.12388020028595,2344.2924029768906,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-04 06:00:00,35767.815116090205,2814.849686358438,10700.231703475554,0.0,14347.019299478383,0.0,240000.0,23.6976182667684,68425.6779704723,58583.683456839935,48245.386376221126,27002.412075475066,1685.276298921978,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-04 12:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,36095.853348220044,0.0,240000.0,23.6976182667684,70246.21733543737,60142.36588485845,49529.00719929521,27720.84053085148,2692.6293972295334,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-04 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,88824.24805459111,0.0,240000.0,23.6976182667684,2398.85755562568,2053.818330561053,1691.3798016385108,946.646670498812,4906.872987892331,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,609.2862071384693,0.0,0.0
2030-07-05 00:00:00,35475.543364444035,2814.849686358438,10700.231703475554,0.0,698.8093366129656,0.0,240000.0,23.6976182667684,1088.5864769216619,932.0098458782584,767.537520135039,429.5823074243126,5456.604323176186,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-05 06:00:00,21513.703394606928,2814.849686358438,10700.231703475554,0.0,613.1279304041033,0.0,240000.0,23.6976182667684,76666.92418085784,65639.55156950156,54056.101292530686,30254.60529867276,4298.888537977209,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-05 12:00:00,27937.265185205844,2814.849686358438,10700.231703475554,0.0,4950.806973545929,0.0,240000.0,23.6976182667684,83649.68628918524,71617.94940408636,58979.48774454171,33010.17054064866,7442.530967720059,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-05 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,89873.26510128025,0.0,240000.0,23.6976182667684,2516.665356299636,2154.6812683957032,1774.443397502339,993.1364514385971,8023.005091953355,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,1796.3559023689409,0.0,0.0
2030-07-06 00:00:00,30774.329228905415,2814.849686358438,10700.231703475554,0.0,0.0,0.0,240000.0,23.6976182667684,1026.381535383285,878.7521403995038,723.6782332701797,405.0347470000662,6554.222551453864,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,0.0,0.0
2030-07-06 06:00:00,0.0,2814.849686358438,10700.231703475554,0.0,0.0,0.0,240000.0,23.6976182667684,73381.14650941276,62826.38311106761,51739.374326761565,28957.958698970204,7801.071791861961,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,-34945.78740499631,0.0
2030-07-06 12:00:00,0.0,2814.849686358438,10700.231703475554,0.0,0.0,0.0,240000.0,23.6976182667684,79666.752943829,68207.90052689827,56171.21219862212,31438.409607466965,8796.820534609182,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,0.0,-41448.288364911794,0.0
2030-07-06 18:00:00,26582.002776852525,2814.849686358438,10700.231703475554,0.0,3788.6000596047106,0.0,240000.0,23.6976182667684,2251.4312384840805,1927.5970500008777,1587.4328647066045,888.4687132713381,6857.4488639350575,0.0,0.0,0.0,0.0,4998.371941257061,0.0,0.0,57298.290433913266,0.0,0.0
