,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2030-07-02 00:00:00,0.0,0.0,98675.72927520545,32038.7045568228,0.0,0.0,28474.513347578984,51914.257641406155,6326.225456535692,1911.824722907545,872.0524348504381,2998.6832310021896,40574.5748169807,30434.348967884,86230.08082802781,106097.1570198654,14051.94044977008,18546.992695030152,0.0,0.0,0.0,0.0,0.0
2030-07-02 06:00:00,0.0,0.0,86008.88682109646,16019.3522784114,0.0,0.0,0.0,51914.257641406155,120441.2276620392,82282.00922695803,58344.93744744285,147972.67262354604,39966.53808755105,33437.544336473155,79963.11146775597,103170.15822427956,12826.843046782811,18546.992695030152,0.0,0.0,0.0,-11415.806281271594,0.0
2030-07-02 12:00:00,0.0,0.0,58003.769057419115,8009.6761392057,0.0,0.0,0.0,51914.257641406155,107287.20465373172,85012.59328740048,64535.44534261324,159745.88980318734,40216.72946891064,94850.7624418564,49517.521811602186,67106.43255905478,17639.262735049455,18546.992695030152,0.0,0.0,0.0,-33241.128583963,0.0
2030-07-02 18:00:00,0.0,0.0,98675.72927520545,29195.513050245754,0.0,0.0,0.0,51914.257641406155,2774.9753131889674,3352.091874169827,2779.757050343803,6568.521502420457,62779.1152267105,121813.12883682358,38704.48874237906,36301.53269683846,28007.51719797731,18546.992695030152,0.0,0.0,5392.676526720745,0.0,0.0
2030-07-03 00:00:00,0.0,0.0,24668.932318801362,0.0,0.0,0.0,0.0,51914.257641406155,6343.963581473823,1484.6871248381512,565.2588868913338,2359.583002879409,50543.18881892677,164816.01534110546,26352.928217716104,50834.736454086014,62499.12257671944,18546.992695030152,0.0,0.0,0.0,-54001.06876861651,0.0
2030-07-03 06:00:00,0.0,0.0,18356.041318240295,0.0,0.0,0.0,0.0,51914.257641406155,129027.59222259978,53777.387950446326,36020.188036755164,102323.76805655978,31928.92005362577,156561.696393696,25737.18187256957,84011.83306213743,56609.30412930698,18546.992695030152,0.0,0.0,0.0,-33350.86635031384,0.0
2030-07-03 12:00:00,0.0,0.0,53592.9013784778,0.0,0.0,0.0,0.0,51914.257641406155,105188.99933427596,56467.69405098661,46478.30774884126,122399.5741201662,22579.01789188544,165350.20415320824,44265.93900317716,103723.61025030613,38672.27044029436,18546.992695030152,0.0,0.0,0.0,-37389.30057225259,0.0
2030-07-03 18:00:00,0.0,0.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,2566.658199201781,3297.5487616210394,3430.2263759609095,8154.007896054651,43194.9657544157,103711.06128138692,48250.136417767615,70334.30176624884,23024.205492457837,18546.992695030152,0.0,0.0,18971.076381022707,0.0,0.0
2030-07-04 00:00:00,0.0,0.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,6680.016744833097,1862.8364111303663,814.825267995344,2946.572543582608,25464.025615814608,75569.74769328858,43523.19734699884,53424.416530437455,21873.2645606123,18546.992695030152,0.0,0.0,21037.719931309533,0.0,0.0
2030-07-04 06:00:00,0.0,0.0,75255.20312351854,5462.804277330539,0.0,0.0,0.0,51914.257641406155,127435.4563023985,77568.119248915,58718.006231677326,151720.95836842884,12045.70681942725,61276.89442864126,46112.36612826456,32018.04957652102,35932.41054547891,18546.992695030152,0.0,0.0,0.0,0.0,0.0
2030-07-04 12:00:00,0.0,0.0,63431.651390058934,2537.633096578578,0.0,0.0,0.0,51914.257641406155,108885.81146744528,81574.06010580016,69586.1249525614,173590.15697549714,15253.727227418784,74093.96722241331,52197.278257216094,29456.006362728545,51071.71558376459,18546.992695030152,0.0,0.0,0.0,0.0,0.0
2030-07-04 18:00:00,0.0,0.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,2587.49962414834,3858.6633279173557,4034.850408618158,9503.718459399472,35188.33688531427,60728.741717086574,52396.80189330092,66058.98911402731,43628.0353124151,18546.992695030152,0.0,0.0,48961.252045204805,0.0,0.0
2030-07-05 00:00:00,0.0,0.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,6097.389316628569,1764.6713394284325,821.0012240322924,2863.486766117504,17583.2735910362,53578.70942847838,45840.64913014142,50432.696332431835,25694.89867725976,18546.992695030152,0.0,0.0,22217.510239648243,0.0,0.0
