,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
RoGonDor,123525881.73962249,-1722059.9905375428,577151180.5424917,185689002.463552,0.0,248745794.63115454,150069840.3133235,158151216.27729428,68857459.0002529,4563551.881820329
DolAmroth,30697780.47488238,-775718.8134973131,26157996.768236957,11711519.355671812,2904849.469311557,26273328.221357755,96153.36172572582,8640833.384452904,0.0,5254162.446200565
Harad,37051379.46249357,-1131372.5944038248,10847753.522280352,117436875.60618429,4098421.1433378845,346484741.1914771,15579537.360260408,178860569.47902465,34503.7321964148,11410347.907099878
