,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
2030-07-02 00:00:00,40998.371941257064,0.0,923.978054451382,3363.451075739298,2814.849686358438,240000.0,10700.231703475554,40851.411175080146,23.6976182667684,0.0
2030-07-02 06:00:00,40998.371941257064,0.0,765.2559799607318,232139.53341447044,2814.849686358438,240000.0,10700.231703475554,55007.83518526611,23.6976182667684,0.0
2030-07-02 12:00:00,32776.51331264527,0.0,1526.2916258680011,241286.27985518292,2814.849686358438,240000.0,10700.231703475554,4477.419258503101,23.6976182667684,0.0
2030-07-02 18:00:00,40998.371941257064,0.0,1214.449579571,7375.99548313127,2814.849686358438,240000.0,10700.231703475554,88604.35556193464,23.6976182667684,0.0
2030-07-03 00:00:00,40998.371941257064,0.0,937.5769086236488,3253.9708461694063,2814.849686358438,240000.0,10700.231703475554,1824.5785398683856,23.6976182667684,0.0
2030-07-03 06:00:00,29257.364307731248,0.0,589.9964483272558,219933.1592006844,2814.849686358438,240000.0,10700.231703475554,1301.7725000626394,23.6976182667684,0.0
2030-07-03 12:00:00,40998.371941257064,0.0,2032.6754411627408,210710.05410435202,2814.849686358438,240000.0,10700.231703475554,27222.96489742199,23.6976182667684,0.0
2030-07-03 18:00:00,40998.371941257064,0.0,1764.118391387396,5383.86708668961,2814.849686358438,240000.0,10700.231703475554,90000.0,23.6976182667684,0.0
2030-07-04 00:00:00,40998.371941257064,0.0,2344.2924029768906,2585.0940879141726,2814.849686358438,240000.0,10700.231703475554,3579.626965625612,23.6976182667684,0.0
2030-07-04 06:00:00,40766.18705734727,0.0,1685.276298921978,202257.15987900842,2814.849686358438,240000.0,10700.231703475554,14347.019299478383,23.6976182667684,0.0
2030-07-04 12:00:00,40998.371941257064,0.0,2692.6293972295334,207638.4309504425,2814.849686358438,240000.0,10700.231703475554,36095.853348220044,23.6976182667684,0.0
2030-07-04 18:00:00,40998.371941257064,0.0,4906.872987892331,7090.702358324055,2814.849686358438,240000.0,10700.231703475554,88824.24805459111,23.6976182667684,0.0
2030-07-05 00:00:00,40473.9153057011,0.0,5456.604323176186,3217.7161503592724,2814.849686358438,240000.0,10700.231703475554,698.8093366129656,23.6976182667684,0.0
2030-07-05 06:00:00,26512.075335863985,0.0,4298.888537977209,226617.18234156285,2814.849686358438,240000.0,10700.231703475554,613.1279304041033,23.6976182667684,0.0
2030-07-05 12:00:00,32935.637126462905,0.0,7442.530967720059,247257.293978462,2814.849686358438,240000.0,10700.231703475554,4950.806973545929,23.6976182667684,0.0
2030-07-05 18:00:00,40998.371941257064,0.0,8023.005091953355,7438.926473636277,2814.849686358438,240000.0,10700.231703475554,89873.26510128025,23.6976182667684,0.0
2030-07-06 00:00:00,35772.70117016247,0.0,6554.222551453864,3033.846656053034,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-06 06:00:00,4998.371941257061,0.0,7801.071791861961,216904.86264621216,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-06 12:00:00,4998.371941257061,0.0,8796.820534609182,235484.2752768164,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-06 18:00:00,31580.37471810959,0.0,6857.4488639350575,6654.9298664629005,2814.849686358438,240000.0,10700.231703475554,3788.6000596047106,23.6976182667684,0.0
2030-07-07 00:00:00,7762.728576756395,0.0,5122.860306228405,2478.1203558324087,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-07 06:00:00,4998.371941257061,0.0,2251.770175831509,175711.2030535211,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-07 12:00:00,4998.371941257061,-1916.3744768409072,2956.1595602211987,183585.09635911163,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-07 18:00:00,42435.568478410765,0.0,3337.371393663625,5402.218229013257,2814.849686358438,240000.0,10700.231703475554,17715.212215781456,23.6976182667684,0.0
2030-07-08 00:00:00,13952.794754391543,0.0,2839.6095645314404,2385.3799487723927,2814.849686358438,240000.0,10700.231703475554,0.0,23.6976182667684,0.0
2030-07-08 06:00:00,40998.371941257064,0.0,1303.1266134676712,167469.21268824834,2814.849686358438,240000.0,10700.231703475554,17549.738626220136,23.6976182667684,0.0
2030-07-08 12:00:00,40998.371941257064,0.0,1672.6715678823048,160626.653581247,2814.849686358438,240000.0,10700.231703475554,38393.13578199097,23.6976182667684,0.0
2030-07-08 18:00:00,40998.371941257064,0.0,3699.857448602172,4573.641773658537,2814.849686358438,240000.0,10700.231703475554,90000.0,23.6976182667684,0.0
2030-07-09 00:00:00,40998.371941257064,0.0,2067.157133466212,2709.4342668778427,2814.849686358438,240000.0,10700.231703475554,64544.46467864965,23.6976182667684,0.0
2030-07-09 06:00:00,40998.371941257064,0.0,661.7483795828575,192636.7749308109,2814.849686358438,240000.0,10700.231703475554,46418.82927314678,23.6976182667684,0.0
2030-07-09 12:00:00,40998.371941257064,0.0,1228.242256492388,189997.97018243722,2814.849686358438,240000.0,10700.231703475554,84965.85893291542,23.6976182667684,0.0
2030-07-09 18:00:00,40998.371941257064,0.0,1481.9062163190715,5738.446963489529,2814.849686358438,240000.0,10700.231703475554,90000.0,23.6976182667684,0.0
2030-07-10 00:00:00,40998.371941257064,0.0,2577.1923192605395,2583.1246970306647,2814.849686358438,240000.0,10700.231703475554,17522.189292377047,23.6976182667684,0.0
