,RoGonDor,DolAmroth,Harad
Base,203.63760117127242,3753.968046904622,2028.8258290211647
PVminus10,203.70929570211345,3825.283884033507,2215.761501635313
Demandplus10,424.59984191098766,4857.58488390865,2949.9097692794717
PVminus10AndDemandplus10,426.9281608071953,4873.094457288951,3231.3001224579516
