,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
2030-07-02 00:00:00,40202.30682921041,0.0,10725.192696666669,772.0564019202536,2202.72,11967.43233690927,71.5403520000006,0.0,0.0,0.0
2030-07-02 06:00:00,32309.205778258034,0.0,9654.444563333334,26765.087903654363,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-02 12:00:00,15014.052516493244,0.0,6169.258490000001,23525.26880527931,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-02 18:00:00,9533.736733450038,0.0,15502.248146666667,501.93002174994297,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 00:00:00,7056.870164438172,0.0,15600.196479999999,602.5297068205782,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 06:00:00,7056.870164438172,0.0,20329.67208666667,25297.470800789153,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 12:00:00,7056.870164438172,0.0,23885.772753333327,19276.866720373262,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 18:00:00,7635.238325109196,0.0,14821.99121,404.42571160455856,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-04 00:00:00,14494.915251449376,0.0,4841.00995,452.65364995603943,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-04 06:00:00,25848.218690945396,0.0,3190.522916666667,22171.571484743716,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-04 12:00:00,20004.37702059866,0.0,4614.657113333333,21330.31847562351,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-04 18:00:00,7056.870164438172,0.0,21571.61086,655.6303644092271,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 00:00:00,7056.870164438172,0.0,26566.814533333338,552.3047523882913,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 06:00:00,7056.870164438172,0.0,25774.435563333333,23282.092157119485,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-05 12:00:00,7056.870164438172,0.0,28923.83170333333,21976.143491075974,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-05 18:00:00,7056.870164438172,0.0,31470.78797666667,680.2036472835526,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-06 00:00:00,7056.870164438172,0.0,28497.95235,592.6844175422009,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-06 06:00:00,7056.870164438172,0.0,28249.924123333327,22757.45606253077,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-06 12:00:00,7056.870164438172,0.0,27481.882433333332,20696.585392540324,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-06 18:00:00,7056.870164438172,0.0,23299.4886,702.8498096399001,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-07 00:00:00,7056.870164438172,0.0,20284.45452666667,570.1980164723179,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-07 06:00:00,7056.870164438172,0.0,18781.189599999998,25530.62242822333,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-07 12:00:00,7056.870164438172,0.0,21031.120433333333,22549.736434885664,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-07 18:00:00,7056.870164438172,0.0,22693.45345333333,548.2008843422336,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-08 00:00:00,7056.870164438172,0.0,18859.605883333337,663.9579214661909,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-08 06:00:00,7056.870164438172,0.0,17273.799320000002,25694.507552894727,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-08 12:00:00,7056.870164438172,0.0,20080.606760000002,22482.486918364506,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-08 18:00:00,7056.870164438172,0.0,20020.83523,524.5761841062902,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-09 00:00:00,32176.57538902886,0.0,14469.388733333335,778.7663759517643,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-09 06:00:00,19536.057957746634,0.0,5144.695876666666,25203.011940166998,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-09 12:00:00,17986.120985936523,0.0,5654.44205,21757.170677815528,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-09 18:00:00,20671.164867052918,0.0,4908.651916666668,415.8087032651559,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-10 00:00:00,17893.198576188533,0.0,4104.553716666666,476.90741025743546,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-10 06:00:00,25802.86212522298,0.0,2908.2242966666668,22054.825924659755,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-10 12:00:00,14796.81181189138,0.0,7720.091736666667,23183.99872723026,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-10 18:00:00,15196.281343498295,0.0,10044.751386666669,713.184367858075,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-11 00:00:00,8767.082025074942,0.0,13604.862173333331,377.7855170865977,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-11 06:00:00,11780.560670591705,0.0,16455.52742,22354.578038388838,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-11 12:00:00,7056.870164438172,-6.29352234360681,26054.809786666665,24709.000087177454,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-11 18:00:00,7056.870164438172,0.0,21681.35908666667,871.0285188850323,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-12 00:00:00,7056.870164438172,0.0,20253.560470000004,626.4040340666218,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-12 06:00:00,7056.870164438172,-1560.2933792786223,20455.921726666667,27442.425832861958,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-12 12:00:00,7056.870164438172,-2025.5145679354384,20356.75192,29110.81294741107,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-12 18:00:00,7056.870164438172,0.0,8053.542433333334,1027.6644751831018,331.7633363564972,0.0,53.65526400000044,0.0,0.0,0.0
2030-07-13 00:00:00,7275.7234977340795,0.0,9221.777966666667,639.105056340552,550.68,0.0,53.65526400000044,0.0,0.0,0.0
2030-07-13 06:00:00,7056.870164438172,0.0,11095.78309666667,26258.394998551696,0.0,0.0,35.7701760000003,0.0,0.0,0.0
2030-07-13 12:00:00,7056.870164438172,-2764.6182668020865,13718.943173333331,26799.14701291252,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-13 18:00:00,7056.870164438172,0.0,13108.102796666666,785.5362604656999,0.0,0.0,53.65526400000044,0.0,0.0,0.0
2030-07-14 00:00:00,7056.870164438172,-2417.060770187598,17976.722653333334,642.519953838731,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-14 06:00:00,7056.870164438172,0.0,15074.087173333333,27228.20591787383,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-14 12:00:00,7056.870164438172,-5400.125710842448,16421.13027,28457.46916641437,0.0,0.0,0.0,0.0,0.0,0.0
2030-07-14 18:00:00,12516.27694167089,0.0,6784.201173333334,918.577471769039,16.14791414229133,0.0,53.65526400000044,0.0,0.0,0.0
2030-07-15 00:00:00,9432.541944955598,0.0,7173.37871,487.13213259116617,550.68,0.0,53.65526400000044,0.0,0.0,0.0
2030-07-15 06:00:00,9632.744284560908,0.0,14629.643730000002,21287.61228673546,550.68,0.0,53.65526400000044,0.0,0.0,0.0
