Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW/yr,40260.99999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Gas|CCGT|w/ CCS,EUR/MW/yr,39731.24999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Gas|CCGT|w/o CCS,EUR/MW/yr,18011.499999999993
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Gas|OCGT|w/o CCS,EUR/MW/yr,8475.999999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Geothermal,EUR/MW/yr,84759.99999999997
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Hydrogen|OCGT,EUR/MW/yr,10862.285362499999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Nuclear,EUR/MW/yr,100122.75
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Oil|w/o CCS,EUR/MW/yr,6897.344999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Wind|Offshore,EUR/MW/yr,61535.75999999997
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Fixed Cost|Electricity|Wind|Onshore,EUR/MW/yr,21189.999999999993
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Maximum Storage|Electricity|Energy Storage System|Hydro|Pumped Storage,MWh,2141513.5491208085
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Maximum Storage|Electricity|Energy Storage System|Lithium-Ion,MWh,387909.01662148815
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Price|Carbon,EUR_2020/t CO2,132.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Biomass|w/o CCS,MWh/yr,57953379.033650585
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Coal|Hard coal|w/ CCS,MWh/yr,165820.02062105556
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Coal|Hard coal|w/o CCS,MWh/yr,2650393.3614100004
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Coal|Lignite|w/o CCS,MWh/yr,7102144.681548055
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Secondary Energy|Electricity|Gas|CCGT|w/ CCS,MWh/yr,17709955.824889448
