,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2030-10-19 00:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,6682.485344994652,51914.257641406155,0.0,0.0,0.0,0.0,25233.189577777903,138847.75319186205,63154.86603196799,82500.14582275457,72453.22997337856,16526.669753312028,0.0,0.0,6682.485344994652,-13282.020130180732,0.0
2030-10-19 06:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,107317.79353108582,51914.257641406155,64247.22080349692,34278.837439141535,24348.297016392586,64786.230702582354,24295.840897820173,146497.30000696337,35027.81603883756,63953.86562451623,89907.63090343402,16526.669753312028,0.0,0.0,27879.04319437739,0.0,0.0
2030-10-19 12:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,61897.80615783499,41878.532461709925,34586.57517260802,87587.47355706576,29017.126029626415,216252.04023649087,37256.36597149129,77737.23477036857,83534.3419826611,16526.669753312028,0.0,0.0,4897.23811412773,-34206.88536483365,0.0
2030-10-19 18:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,2791.919534650642,51914.257641406155,3.39138494929705e-05,0.15695562914973427,0.4946367571394348,1.1846088835546875,30567.462302714423,223547.61302107584,23982.019337087047,81961.16595952176,67764.41320827734,16526.669753312028,0.0,0.0,946.5643015436582,-19067.30221224712,0.0
2030-10-20 00:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,0.0,0.0,0.0,0.0,31993.5226789222,209165.66536431236,17244.400277358644,85944.13622358716,91075.13115845447,16526.669753312028,0.0,0.0,0.0,-34856.50382784162,0.0
2030-10-20 06:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,101648.40930075196,51914.257641406155,48244.840222772866,25648.756033454207,17789.158135105426,47447.06132967096,28431.311136855016,190958.67231858292,8551.939063285852,93770.12023985178,92309.99476162645,16526.669753312028,0.0,0.0,21643.333164779448,0.0,0.0
2030-10-20 12:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,55508.587442980235,51914.257641406155,45777.18899617829,23670.586800074678,21727.160465772133,57244.11844983683,36504.96734627535,235675.10079375055,12011.777708755004,97468.46009219276,87940.94890366179,16526.669753312028,0.0,0.0,14934.358791730629,0.0,0.0
2030-10-20 18:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,52922.980721300555,51914.257641406155,1.6149452139509762e-05,0.0747407757855877,0.23554131292354036,0.564099468359375,36702.19982246682,215403.7317369163,8083.4141292214,77490.98382019068,75372.61254578673,16526.669753312028,0.0,0.0,23538.01702773894,0.0,0.0
2030-10-21 00:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,84227.10973683622,51914.257641406155,0.0,0.0,0.0,0.0,32814.30089697325,175791.97524295948,1963.2272284988724,56392.06031680289,90841.12536282813,16526.669753312028,0.0,0.0,4256.290558928573,0.0,0.0
2030-10-21 06:00:00,154884.3,117441.0,98675.72927520545,32038.7045568228,0.0,0.0,147636.6281396978,51914.257641406155,41368.69459609424,29162.991076565057,20959.493537763814,52857.31259109025,30665.846282721755,185155.60950646127,1799.844268575417,71763.05098377503,97352.46069985024,16526.669753312028,0.0,0.0,106400.57834075493,0.0,0.0
