,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
2030-07-02 00:00:00,18546.992695030152,0.0,277388.102082528,12108.785845295864,49208.958820953216,0.0,130714.43383202824,0.0,51914.257641406155,0.0
2030-07-02 06:00:00,18546.992695030152,0.0,269364.1951628426,409040.8469599861,1251.0361728427924,0.0,102028.23909951323,0.0,51914.257641406155,0.0
2030-07-02 12:00:00,18546.992695030152,0.0,269330.70901647344,416581.1330869328,0.0,0.0,61621.85907140253,0.0,51914.257641406155,0.0
2030-07-02 18:00:00,18546.992695030152,0.0,287605.7827007289,15475.345740123055,0.0,0.0,127871.2423254619,0.0,51914.257641406155,0.0
2030-07-03 00:00:00,18546.992695030152,0.0,355045.99140855385,10753.492596082717,0.0,0.0,0.0,0.0,51914.257641406155,0.0
2030-07-03 06:00:00,18546.992695030152,0.0,354848.93551133573,321148.93626636104,0.0,0.0,24668.932318801362,0.0,51914.257641406155,0.0
2030-07-03 12:00:00,18546.992695030152,0.0,374591.0417388713,330534.57525427005,0.0,0.0,32770.73272192473,0.0,51914.257641406155,0.0
2030-07-03 18:00:00,18546.992695030152,0.0,288514.67071227694,17448.441232838384,0.0,0.0,128482.30715768757,0.0,51914.257641406155,0.0
2030-07-04 00:00:00,18546.992695030152,0.0,219854.65174715177,12304.250967541415,0.0,0.0,130714.43383202824,0.0,51914.257641406155,0.0
2030-07-04 06:00:00,18546.992695030152,0.0,187385.42749833298,415442.54015141964,0.0,0.0,91986.65940052958,0.0,51914.257641406155,0.0
2030-07-04 12:00:00,18546.992695030152,0.0,222072.69465354132,433636.153501304,0.0,0.0,82322.50688093225,0.0,51914.257641406155,0.0
2030-07-04 18:00:00,18546.992695030152,0.0,258000.90492214417,19984.731820083325,0.0,0.0,130714.43383202824,0.0,51914.257641406155,0.0
2030-07-05 00:00:00,18546.992695030152,0.0,193130.2271593476,11546.548646206797,0.0,0.0,130714.43383202824,0.0,51914.257641406155,0.0
2030-07-05 06:00:00,18546.992695030152,0.0,186694.13186988138,399874.58499823813,0.0,0.0,87718.09643842312,0.0,51914.257641406155,0.0
2030-07-05 12:00:00,18546.992695030152,0.0,218785.8312321618,407096.55753795936,0.0,0.0,86232.15594141118,0.0,51914.257641406155,0.0
2030-07-05 18:00:00,18546.992695030152,0.0,273037.0742007609,20126.377498997655,0.0,0.0,130714.43383202824,0.0,51914.257641406155,0.0
2030-07-06 00:00:00,18546.992695030152,0.0,272413.0613422323,12334.53668444601,0.0,0.0,115025.62524453692,0.0,51914.257641406155,0.0
2030-07-06 06:00:00,18546.992695030152,0.0,254618.64737245173,448382.2455477981,0.0,0.0,0.0,0.0,51914.257641406155,0.0
2030-07-06 12:00:00,18546.992695030152,0.0,251867.29263929516,474288.10099291615,0.0,0.0,0.0,0.0,51914.257641406155,0.0
2030-07-06 18:00:00,18546.992695030152,0.0,251109.44923303564,22076.6608130577,0.0,0.0,89816.27529369188,0.0,51914.257641406155,0.0
2030-07-07 00:00:00,18546.992695030152,0.0,236268.2679366945,13340.962166901238,0.0,0.0,24147.340609873354,0.0,51914.257641406155,0.0
2030-07-07 06:00:00,18546.992695030152,0.0,228043.5349905217,463311.6359317224,0.0,0.0,0.0,0.0,51914.257641406155,0.0
2030-07-07 12:00:00,18546.992695030152,0.0,259993.5112477904,490905.0748380598,0.0,0.0,0.0,0.0,51914.257641406155,0.0
