,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
RoGonDor,120402471.68154785,-1895871.0874329638,577136519.9371989,185599126.41337776,113250208.78660226,204254900.32780164,148788224.2086888,76168411.38677178,68579360.82343839,29901.663189517567
DolAmroth,25489212.82021342,-192391.16097471822,26157861.4054252,11712060.261090122,2739755.9610499744,28856940.66836863,93628.43568000075,5162723.451993064,0.0,1245.4606178230788
Harad,37313585.552951336,-575671.3354132002,10847753.522280352,117436875.60618429,4098421.1433378845,342419019.45167005,15579537.360260408,81613023.87652966,34503.7321964148,0.0
