,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Oil,Non Served
2030-07-02 00:00:00,7056.870164438172,0.0,10725.192696666669,772.0564019202536,2202.72,24378.423528340645,71.5403520000006,0.0,0.0,0.0
2030-07-02 06:00:00,7056.870164438172,0.0,9654.444563333334,26765.087903654363,2202.72,24001.29944099429,71.5403520000006,0.0,0.0,0.0
2030-07-02 12:00:00,7056.870164438172,0.0,6169.258490000001,23525.26880527931,2202.72,7957.18235206693,71.5403520000006,0.0,0.0,0.0
2030-07-02 18:00:00,7056.870164438172,0.0,15502.248146666667,501.93002174994297,2202.72,2476.866569023723,71.5403520000006,0.0,0.0,0.0
2030-07-03 00:00:00,7056.870164438172,0.0,15600.196479999999,602.5297068205782,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 06:00:00,7056.870164438172,0.0,20329.67208666667,25297.470800789153,2202.72,77.80748093307295,71.5403520000006,0.0,0.0,0.0
2030-07-03 12:00:00,7056.870164438172,0.0,23885.772753333327,19276.866720373262,2202.72,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-03 18:00:00,7056.870164438172,0.0,14821.99121,404.42571160455856,2202.72,3800.9787763570553,71.5403520000006,0.0,0.0,0.0
2030-07-04 00:00:00,7056.870164438172,0.0,4841.00995,452.65364995603943,2202.72,8125.8837751240835,71.5403520000006,0.0,0.0,0.0
2030-07-04 06:00:00,7056.870164438172,0.0,3190.522916666667,22171.571484743716,2202.72,15426.474200386128,71.5403520000006,0.0,0.0,0.0
2030-07-04 12:00:00,7056.870164438172,0.0,4614.657113333333,21330.31847562351,2202.72,12324.124397629414,71.5403520000006,0.0,0.0,0.0
2030-07-04 18:00:00,7056.870164438172,0.0,21571.61086,655.6303644092271,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 00:00:00,7056.870164438172,0.0,26566.814533333338,552.3047523882913,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 06:00:00,7056.870164438172,0.0,25774.435563333333,23282.092157119485,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 12:00:00,7056.870164438172,0.0,28923.83170333333,21976.143491075974,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-05 18:00:00,7056.870164438172,0.0,31470.78797666667,680.2036472835526,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-06 00:00:00,7056.870164438172,0.0,28497.95235,592.6844175422009,0.0,0.0,71.5403520000006,0.0,0.0,0.0
2030-07-06 06:00:00,7056.870164438172,0.0,28249.924123333327,22757.45606253077,0.0,0.0,17.88508800000015,0.0,0.0,0.0
2030-07-06 12:00:00,7056.870164438172,0.0,27481.882433333332,20696.585392540324,0.0,0.0,17.88508800000015,0.0,0.0,0.0
