Time,DolAmroth>RoGonDor,Harad>RoGonDor,RoGonDor>DolAmroth,RoGonDor>Harad,TotalExportsCountriesIn,TotalImportsCountriesIn
2030-07-02 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-02 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-02 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-02 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-03 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-03 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-03 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-03 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-04 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-04 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-04 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-04 18:00:00,-0.0,-0.0,12247.0,5196.0,17443.0,0.0
2030-07-05 00:00:00,-0.0,-0.0,3820.3,5196.0,9016.3,0.0
2030-07-05 06:00:00,-0.0,-0.0,7582.0,5196.0,12778.0,0.0
2030-07-05 12:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-05 18:00:00,-0.0,-0.0,978.5,5196.0,6174.5,0.0
2030-07-06 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-06 06:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-06 12:00:00,-0.0,-0.0,12363.9,5196.0,17559.9,0.0
2030-07-06 18:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-07 00:00:00,-0.0,-0.0,3803.6,5196.0,8999.6,0.0
2030-07-07 06:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-07 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-07 18:00:00,-0.0,-0.0,5931.2,5196.0,11127.2,0.0
2030-07-08 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-08 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-08 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-08 18:00:00,-0.0,-0.0,9440.8,5196.0,14636.8,0.0
2030-07-09 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-09 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-09 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-09 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-10 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-10 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-10 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-10 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-11 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-11 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-11 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-11 18:00:00,-0.0,-0.0,11048.2,5196.0,16244.2,0.0
2030-07-12 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-12 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-12 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-12 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-13 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-13 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-13 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-13 18:00:00,-0.0,-0.0,12195.3,5196.0,17391.3,0.0
2030-07-14 00:00:00,-0.0,-0.0,5493.9,5196.0,10689.9,0.0
2030-07-14 06:00:00,-0.0,-0.0,632.4,5196.0,5828.4,0.0
2030-07-14 12:00:00,-0.0,-0.0,10672.3,5196.0,15868.3,0.0
2030-07-14 18:00:00,-0.0,-0.0,7177.7,5196.0,12373.7,0.0
2030-07-15 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-15 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-15 12:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-15 18:00:00,-0.0,-0.0,11336.8,5196.0,16532.8,0.0
2030-07-16 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-16 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-16 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-16 18:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-17 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-17 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-17 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-17 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-18 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-18 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-18 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-18 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-19 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-19 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-19 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-19 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-20 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-20 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-20 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-20 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-21 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-21 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-21 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-21 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-22 00:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-22 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-22 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-22 18:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-23 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-23 06:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-23 12:00:00,-0.0,-0.0,13200.0,5196.0,18396.0,0.0
2030-07-23 18:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
2030-07-24 00:00:00,-0.0,-0.0,0.0,5196.0,5196.0,0.0
