Time,Hydro|Run of River,Nuclear,Coal|Hard coal|w/o CCS,Wind|Onshore|Avg,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Solar|PV|Rooftop|Commercial,Biomass|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Oil|w/o CCS,Hydro|Reservoir,Hydro|Pumped Storage,Battery|Lithium-Ion,SlackUnit,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion_PUMP
2030-07-09 12:00:00,4998.4,240000.0,10700.2,1228.2,57929.3,47706.5,26700.8,67661.3,2814.8,89503.6,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-29864.6
2030-07-09 18:00:00,4998.4,240000.0,10700.2,1481.9,1749.6,1440.9,806.4,2043.6,2814.8,90000.0,0.0,23.7,36000.0,0.0,21097.0,0.0,-0.0,-0.0
2030-07-10 00:00:00,4998.4,240000.0,10700.2,2577.2,787.6,648.6,363.0,919.9,2814.8,16163.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-10 06:00:00,4998.4,240000.0,10700.2,1615.3,59927.7,49352.2,27621.9,69995.5,2814.8,24048.7,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-10 12:00:00,4998.4,240000.0,10700.2,2662.2,55432.9,45650.7,25550.2,64745.6,2814.8,90000.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-18859.2
2030-07-10 18:00:00,4998.4,240000.0,10700.2,2002.5,1375.9,1133.1,634.2,1607.1,2814.8,90000.0,0.0,23.7,36000.0,0.0,22876.2,0.0,-0.0,-0.0
2030-07-11 00:00:00,4998.4,240000.0,10700.2,2800.6,771.9,635.7,355.8,901.6,2814.8,15915.3,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-11 06:00:00,4998.4,240000.0,10700.2,891.5,54899.0,45210.9,25304.1,64122.0,2814.8,57223.5,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-19308.3
2030-07-11 12:00:00,4998.4,240000.0,10700.2,2280.4,56250.6,46324.0,25927.1,65700.7,2814.8,90000.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-23442.9
2030-07-11 18:00:00,4998.4,240000.0,10700.2,1132.4,1680.0,1383.5,774.4,1962.3,2814.8,90000.0,0.0,23.7,36000.0,0.0,23683.2,0.0,-0.0,-0.0
2030-07-12 00:00:00,4998.4,240000.0,10700.2,980.1,857.2,705.9,395.1,1001.2,2814.8,17993.3,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-12 06:00:00,4998.4,240000.0,10700.2,892.0,62061.0,51109.0,28605.2,72487.1,2814.8,9384.4,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-12 12:00:00,4998.4,240000.0,10700.2,1825.1,64389.3,53026.4,29678.3,75206.6,2814.8,31573.9,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-12 18:00:00,4998.4,240000.0,10700.2,1721.3,1741.8,1434.4,802.8,2034.4,2814.8,90000.0,0.0,23.7,36000.0,0.0,14899.8,0.0,-0.0,-0.0
2030-07-13 00:00:00,4998.4,240000.0,10700.2,1461.8,815.0,671.2,375.7,951.9,2814.8,5606.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-13 06:00:00,4998.4,240000.0,10700.2,912.6,65309.3,53784.1,30102.4,76281.2,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-0.0,-41078.6
2030-07-13 12:00:00,4998.4,240000.0,10700.2,1780.2,64533.8,53145.5,29744.9,75375.4,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-0.0,-20617.0
2030-07-13 18:00:00,4998.4,240000.0,10700.2,1268.0,1446.7,1191.4,666.8,1689.8,2814.8,5589.1,0.0,23.7,36000.0,0.0,55680.3,0.0,-0.0,-0.0
2030-07-14 00:00:00,4998.4,240000.0,10700.2,1170.4,795.1,654.8,366.5,928.7,2814.8,0.0,0.0,23.7,8613.4,0.0,0.0,0.0,-0.0,-0.0
2030-07-14 06:00:00,4998.4,240000.0,10700.2,706.6,66559.5,54813.7,30678.6,77741.4,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-35524.3,-73270.0
2030-07-14 12:00:00,4998.4,221287.6,10700.2,1932.0,70697.0,58221.1,32585.7,82574.1,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-35524.3,-41450.5
2030-07-14 18:00:00,4998.4,240000.0,10700.2,2901.2,2006.4,1652.3,924.8,2343.5,2814.8,0.0,0.0,23.7,36000.0,35524.3,481.3,0.0,-0.0,-0.0
2030-07-15 00:00:00,4998.4,240000.0,10700.2,3223.4,802.4,660.8,369.8,937.2,2814.8,0.0,0.0,23.7,765.4,8345.6,4846.1,0.0,-0.0,-0.0
2030-07-15 06:00:00,4998.4,240000.0,10700.2,2219.2,70225.2,57832.5,32368.2,82023.0,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-0.0,-5903.0
2030-07-15 12:00:00,4998.4,240000.0,10700.2,4763.5,76808.7,63254.2,35402.7,89712.4,2814.8,0.0,0.0,23.7,0.0,9413.5,3862.3,0.0,-0.0,-0.0
2030-07-15 18:00:00,4998.4,240000.0,10700.2,4085.1,2097.0,1726.9,966.5,2449.3,2814.8,0.0,0.0,23.7,36000.0,0.0,99672.9,0.0,-0.0,-0.0
2030-07-16 00:00:00,4998.4,240000.0,10700.2,4178.5,873.9,719.7,402.8,1020.7,2814.8,22764.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-11790.9
2030-07-16 06:00:00,4998.4,240000.0,10700.2,5016.7,69438.0,57184.2,32005.4,81103.5,2814.8,0.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-16929.3
2030-07-16 12:00:00,4998.4,240000.0,10700.2,7555.6,74356.1,61234.4,34272.2,86847.9,2814.8,2917.2,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-16 18:00:00,4998.4,240000.0,10700.2,7820.8,1878.5,1547.0,865.9,2194.1,2814.8,90000.0,0.0,23.7,36000.0,0.0,13824.3,0.0,-0.0,-0.0
2030-07-17 00:00:00,4998.4,240000.0,10700.2,5525.9,760.7,626.4,350.6,888.5,2814.8,12531.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-17 06:00:00,4998.4,240000.0,10700.2,2101.5,68045.9,56037.8,31363.7,79477.5,2814.8,0.0,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-8252.1
2030-07-17 12:00:00,4998.4,240000.0,10700.2,3254.6,71194.7,58630.9,32815.1,83155.3,2814.8,14696.2,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-17 18:00:00,4998.4,240000.0,10700.2,2618.4,1760.1,1449.5,811.3,2055.8,2814.8,90000.0,0.0,23.7,36000.0,0.0,19543.1,0.0,-0.0,-0.0
2030-07-18 00:00:00,4998.4,240000.0,10700.2,1570.8,689.1,567.5,317.6,804.9,2814.8,59176.1,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-40358.9
2030-07-18 06:00:00,4998.4,240000.0,10700.2,709.5,60120.6,49511.1,27710.8,70220.7,2814.8,19770.3,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-18 12:00:00,4998.4,240000.0,10700.2,1297.2,61568.8,50703.7,28378.3,71912.2,2814.8,49547.1,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-18 18:00:00,4998.4,240000.0,10700.2,1350.0,1447.4,1192.0,667.1,1690.6,2814.8,90000.0,0.0,23.7,36000.0,0.0,21064.3,0.0,-0.0,-0.0
2030-07-19 00:00:00,4998.4,240000.0,10700.2,916.3,632.7,521.1,291.6,739.0,2814.8,19272.9,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-19 06:00:00,4998.4,240000.0,10700.2,452.1,59446.8,48956.2,27400.2,69433.8,2814.8,22207.7,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-19 12:00:00,4998.4,240000.0,10700.2,1682.1,60889.1,50144.0,28065.0,71118.5,2814.8,44215.8,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-19 18:00:00,4998.4,240000.0,10700.2,1604.8,1576.0,1297.9,726.4,1840.8,2814.8,90000.0,0.0,23.7,36000.0,0.0,15359.6,0.0,-0.0,-0.0
2030-07-20 00:00:00,4998.4,240000.0,10700.2,687.6,668.7,550.7,308.2,781.0,2814.8,8978.7,0.0,23.7,36000.0,0.0,0.0,0.0,-0.0,-0.0
2030-07-20 06:00:00,4998.4,240000.0,10700.2,821.3,62327.0,51328.1,28727.8,72797.9,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-0.0,-27339.0
2030-07-20 12:00:00,4998.4,240000.0,10700.2,1309.6,62882.0,51785.2,28983.6,73446.1,2814.8,0.0,0.0,23.7,0.0,0.0,0.0,0.0,-0.0,-14852.4
2030-07-20 18:00:00,4998.4,240000.0,10700.2,1861.1,1622.3,1336.1,747.8,1894.9,2814.8,24744.8,0.0,23.7,36000.0,0.0,38077.7,0.0,-0.0,-0.0
2030-07-21 00:00:00,4998.4,240000.0,10700.2,1712.0,601.0,494.9,277.0,702.0,2814.8,0.0,0.0,23.7,13414.1,0.0,0.0,0.0,-0.0,-0.0
