,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Battery,Battery_PUMP,Oil,Non Served,CO2
RoGonDor,121684653.20000002,-1731006.5,575653487.1,195094983.10000002,0.0,239325560.40000004,142973210.7,127428552.10000001,0.0,0.0,66634216.0,1936910.2,
DolAmroth,30266991.7,-959311.5,26149919.0,12325579.0,2830953.8000000007,25821342.0,93463.0,8537490.100000001,0.0,0.0,0.0,2446200.4000000004,
Harad,36401212.8,-1255761.1,10847754.6,123617761.5,4098348.8,344999321.2,15579491.2,169445724.2,0.0,0.0,34507.2,5425283.699999999,
