,Hydro,Hydro_PUMP,WindPower,PV,Biomass,Nuclear,Coal,Gaz,Battery,Battery_PUMP,Oil,Non Served,CO2
RoGonDor,119549459.0,-2393508.1999999997,575509333.8000001,195000208.7,110115725.80000001,189079969.5,141795692.79999998,56768165.39999999,0.0,0.0,66394702.99999999,0.0,
DolAmroth,25459892.6,-315954.0,26150432.5,12326771.099999998,2717230.6000000006,28244219.3,92807.0,4142632.0,0.0,0.0,0.0,0.0,
Harad,36619557.300000004,-352160.10000000003,10847754.6,123617761.5,4098348.8,340580573.8,15579491.2,72720985.8,0.0,0.0,34507.2,0.0,
