Timestep,RoGonDor,DolAmroth,Harad
0,509102.85596617724514,56510.937352851833566,339129.96261282678461
1,800007.11754750739783,80499.426499844310456,577553.18423261353746
2,750715.38732505915686,58755.639793510519667,533866.87499034858774
3,480174.42959616240114,40174.51910055429471,395958.30713592935354
4,382569.08289708767552,36868.577438326115953,304952.01127185032237
5,696128.11564352840651,64364.669005301402649,505517.0466202746029
6,753360.44640835747123,59990.497107153227262,534764.43732234311756
7,498670.95346744195558,40982.722120806152816,397930.17780700867297
8,427853.38510698865866,37622.062230302020907,307444.898433705559
9,717667.68325343425386,65084.879199009512377,513817.96126949158497
10,753709.36125047388487,59996.412591293468722,541225.65657529840246
11,501081.38087555684615,41211.20769559792825,399805.22240475640865
12,411343.53636326751439,37670.864974430936854,307784.55815178132616
13,703839.20710832788609,64494.809656314981112,512803.59288054367062
14,747910.7630209820345,58608.492125595010293,546386.63998434017412
15,510697.19992014573654,39867.653360940938001,405505.66536604927387
16,455710.06405378517229,34190.341995210372261,303298.2834136011661
17,641591.30677153915167,56815.771810720441863,449520.83770907041617
18,698039.74627380352467,51776.84738265049964,461631.55032592010684
19,447089.05934890324716,35802.236887659055355,363555.38479757891037
20,351822.70901652221801,31319.113882117319008,278950.36823628051206
21,602231.36099353781901,52022.750788568453572,385023.9143145061098
22,667334.63975505682174,48268.965289305371698,411689.2763902375591
23,518208.35435655969195,35832.553743862197734,342544.12685105024138
24,514316.63821203960106,35050.305501655122498,279734.19835498015163
25,719144.48024945892394,63850.761320880483254,497503.53634792618686
26,756462.17606778896879,59443.314824457520444,538035.00691567582544
27,534165.37908181303646,40647.018396020961518,401986.11444089724682
28,506956.43170126451878,36820.514129707997199,312896.3600631232257
29,707770.91309313592501,63758.331881234029424,526660.47984169202391
30,762651.77467891050037,59444.793695490014215,561024.28322057833429
31,488959.31308590230765,40632.229685672384221,418778.52204267389607
32,389296.69542023271788,37070.443334506671818,321618.39128585712751
33,699381.86962103226688,64640.47845320313354,532720.56250453414395
34,762257.55888503661845,59747.962257526276517,565341.4965605874313
35,488863.60650074790465,40590.821296710681054,419788.27966615569312
36,424890.53415902517736,37345.513346888910746,321540.00827399117406
37,694670.33739791321568,64465.232235634277458,528501.71215975959785
38,755639.63835581764579,59342.751594129789737,563199.02756954426877
39,485525.41096113889944,40277.300637441636354,420774.98346264683641
40,387097.89304984954651,36844.915501773823053,322091.76320073794341
41,692817.68576470087282,62932.382408581885102,524697.83070135070011
42,750524.55682332080323,57202.085771977523109,555858.68904616765212
43,480639.42313805193407,38982.54904690902913,412793.74854812416015
44,369464.16561282984912,33877.560771455959184,310040.75935622077668
45,639117.31990555371158,56006.08991943798901,449470.11928957444616
46,710484.36973086826038,50700.968705207917083,468121.97109299222939
47,450983.90989731426816,35072.414032232103636,367691.24136510223616
48,345806.02090770774521,30777.847083563592605,276688.01934466132661
49,607662.82510988274589,50998.632597315845487,385864.61053991038352
50,682704.74076405330561,47193.826047369424487,414481.86330335878301
51,504849.34090346703306,35363.012190472014481,345992.97937330347486
52,435463.48784554505255,35024.425258553019376,284109.81472348544048
53,787067.61277330934536,63410.057752657907258,502924.25954137981171
54,835161.02168540237471,59089.125211736019992,547376.41762439440936
55,606989.29241943138186,40069.519257126055891,411156.92682970059104
56,544055.61391428986099,36457.45129078951868,318327.84170917206211
57,749502.71459981380031,63010.02313788284664,527977.62182546989061
58,763493.48232428915799,58294.971466321017942,567342.56874602648895
59,554857.25497624883428,40012.582722302933689,418289.78090987016913
