Timestep,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
0,73.517915973828550591,4.1839999992000009854,77.701915973028548024
1,73.517915973828550591,5.0000000004000018095,78.517915974228543519
2,73.517915973828550591,5.0000000004000018095,78.517915974228543519
3,73.517915973828550591,5.0000000004000018095,78.517915974228543519
4,74.297915973750548346,4.2200000004780022778,78.517915974228543519
5,66.34991916638027476,4.2200000004780022778,70.569919166858284143
6,74.297915973750548346,4.2200000004780022778,78.517915974228543519
7,73.517915973828550591,4.6759002775379521211,78.193816251366499159
8,73.517915973828550591,4.6759002775379521211,78.193816251366499159
9,73.517915973828550591,5.0000000004000018095,78.517915974228543519
10,73.517915973828550591,5.0000000004000018095,78.517915974228543519
11,78.193816251366499159,-0,78.193816251366499159
12,70.245819443996225573,-0,70.245819443996225573
13,70.569919166858284143,-0,70.569919166858284143
14,78.517915974228543519,-0,78.517915974228543519
15,78.193816251366499159,-0,78.193816251366499159
16,58.134850192668608315,-0,58.134850192668608315
17,58.427350192551600117,0,58.427350192551600117
18,58.427350192551600117,-0,58.427350192551600117
19,64.739446196733069883,-0,64.739446196733069883
20,58.134850192668608315,-0,58.134850192668608315
21,58.427350192551600117,-0,58.427350192551600117
22,58.427350192551607222,-0,58.427350192551607222
23,78.517915974228543519,-0,78.517915974228543519
24,70.569919166858284143,-0,70.569919166858284143
25,78.51791597422857194,-0,78.51791597422857194
26,78.810415974111563742,-0,78.810415974111563742
27,78.517915974228557729,-4.4408920985006261617e-16,78.517915974228543519
28,74.297915973750548346,3.4039999992780010096,77.701915973028548024
29,73.517915973828550591,5.0000000004000018095,78.517915974228543519
30,73.517915973828550591,5.0000000004000018095,78.517915974228543519
31,73.517915973828550591,5.0000000004000018095,78.517915974228543519
32,73.517915973828550591,5.0000000004000018095,78.517915974228543519
33,73.517915973828550591,5.2925000002830024926,78.810415974111549531
34,73.517915973828550591,5.2925000002830024926,78.810415974111549531
35,73.517915973828550591,5.0000000004000018095,78.517915974228543519
36,73.517915973828550591,5.0000000004000018095,78.517915974228543519
37,73.517915973828550591,5.2925000002830024926,78.810415974111549531
38,78.810415974111549531,0,78.810415974111549531
39,78.517915974228543519,-0,78.517915974228543519
40,78.517915974228543519,-0,78.517915974228543519
41,78.517915974228543519,-0,78.517915974228543519
42,78.810415974111549531,0,78.810415974111549531
43,78.517915974228543519,0,78.517915974228543519
44,78.517915974228543519,0,78.517915974228543519
45,5.0000000004000009213,0,5.0000000004000009213
46,5.0000000004000018095,-0,5.0000000004000018095
47,5.8642659282914131325,0,5.8642659282914131325
48,5.2925000002830024926,0,5.2925000002830024926
49,5.2925000002830024926,0,5.2925000002830024926
50,5.2925000002830007162,0,5.2925000002830007162
51,5.8642659282914131325,0,5.8642659282914131325
52,5.0000000004000018095,0,5.0000000004000018095
53,5.0000000004000018095,-0,5.0000000004000018095
54,5.8642659282914131325,-0,5.8642659282914131325
55,5.8642659282914131325,-0,5.8642659282914131325
56,73.517915973828550591,-8.8817841970012523234e-16,73.517915973828550591
57,73.517915973828550591,4.1839999992000009854,77.701915973028548024
58,73.517915973828550591,4.1839999992000009854,77.701915973028548024
59,73.517915973828550591,3.7717451515545716845,77.289661125383119611
60,73.517915973828550591,3.7717451515545716845,77.289661125383119611
61,73.517915973828550591,5.0000000004000018095,78.517915974228543519
62,73.517915973828550591,5.0000000004000018095,78.517915974228543519
63,73.517915973828550591,4.6759002775379521211,78.193816251366499159
64,73.517915973828550591,4.6759002775379521211,78.193816251366499159
65,73.517915973828550591,5.0000000004000018095,78.517915974228543519
66,73.517915973828550591,5.0000000004000018095,78.517915974228543519
67,73.517915973828550591,5.0000000004000018095,78.517915974228543519
68,73.517915973828550591,5.0000000004000018095,78.517915974228543519
69,73.517915973828550591,5.0000000004000018095,78.517915974228543519
70,73.517915973828550591,5.0000000004000018095,78.517915974228543519
71,73.517915973828550591,5.0000000004000018095,78.517915974228543519
72,74.297915973750548346,4.2200000004780022778,78.517915974228543519
73,0.77999999992199686716,4.2200000004780022778,5.0000000003999991449
74,0.77999999992199864352,4.2200000004780022778,5.0000000004000009213
75,1.6442659278134090783,3.8959002776159525894,5.5401662054293616677
76,0.77999999992199864352,3.8959002776159525894,4.6759002775379512329
77,0.77999999992199953169,4.2200000004780022778,5.0000000004000018095
78,0.77999999992199864352,4.2200000004780022778,5.0000000004000009213
79,2.6672924808921667506,4.6759002775379521211,7.3431927584301188716
80,1.6272314640831790911,4.6759002775379521211,6.3031317416211312121
81,2.6672924808921649742,4.6759002775379521211,7.3431927584301170953
82,2.6672924808921649742,4.6759002775379521211,7.3431927584301170953
83,2.6672924808921667506,4.6759002775379521211,7.3431927584301188716
84,73.517915973828550591,4.1839999992000009854,77.701915973028548024
85,73.517915973828550591,4.5560599992000003766,78.073975973028552744
86,73.517915973828550591,4.5560599992000003766,78.073975973028552744
87,73.517915973828550591,4.1839999992000009854,77.701915973028548024
88,73.517915973828550591,4.1839999992000009854,77.701915973028548024
89,73.517915973828550591,4.1839999992000009854,77.701915973028548024
90,73.517915973828550591,4.1839999992000009854,77.701915973028548024
91,73.517915973828550591,4.1839999992000009854,77.701915973028548024
92,73.517915973828550591,4.1839999992000009854,77.701915973028548024
93,73.517915973828550591,4.5560599992000003766,78.073975973028552744
94,73.517915973828550591,4.5560599992000003766,78.073975973028552744
95,73.517915973828550591,4.1839999992000009854,77.701915973028548024
96,73.517915973828550591,5.0000000004000018095,78.517915974228543519
97,73.517915973828550591,5.0000000004000018095,78.517915974228543519
