Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_Harad_0,Hydro|Reservoir_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0
0,34528476.531922243536,6004720.6251387931406,6652572.5166574977338,0,0,0,0,0,0
1,34638219.730511158705,6009441.2502775862813,6676057.7003605486825,0,0,0,0,0,0
2,34747962.929100073874,6014161.8754163794219,6699542.8840635996312,0,0,0,53183.634062957993592,0,0
3,34857706.127688989043,6018882.5005551725626,6723028.0677666505799,0,0,0,40973.27097398742626,0,0
4,34967449.326277904212,6023603.1256939657032,6746513.2514697015285,0,0,0,62635.786727025835717,0,477.48304718237773159
5,35077192.524866819382,6028323.7508327588439,6769998.4351727524772,0,0,0,138472.19413899772917,0,477.48304718237773159
6,35186935.723455734551,6033044.3759715519845,6793483.6188758034259,0,0,0,181261.66678072197828,0,2624.7682464965482723
7,35296678.92204464972,6037765.0011103451252,6816968.8025788543746,0,0,0,150806.57791708051809,0,2624.7682464965482723
8,35406422.120633564889,6042485.6262491382658,6840453.9862819053233,0,0,0,119429.48971182163223,0,2624.7682464965482723
9,35516165.319222480059,6047206.2513879314065,6863939.1699849562719,0,0,0,128130.69574928941438,0,2624.7682464965482723
10,35625908.517811395228,6051926.8765267245471,6887424.3536880072206,0,0,0,128130.69574928941438,0,0
11,35735651.716400310397,6056647.5016655176878,6910909.5373910581693,0,0,0,65382.039935980908922,0,0
12,35845394.914989225566,6061368.1268043108284,6934394.721094109118,0,0,0,33239.523435316848918,0,0
13,35955138.113578140736,6066088.7519431039691,6957879.9047971600667,0,0,0,43352.562137799068296,0,0
14,36064881.312167055905,6070809.3770818971097,6981365.0885002110153,0,0,0,51229.948428384981526,0,0
15,36174624.510755971074,6075530.0022206902504,7004850.272203261964,0,0,0,4488.0823971865029307,0,0
16,36284367.709344886243,6080250.627359483391,7028335.4559063129127,0,0,0,4488.0823971865029307,3650.5922262083518035,0
17,36394110.907933801413,6084971.2524982765317,7051820.6396093638614,0,0,0,67580.816647730782279,56025.309868978911254,0
18,36503854.106522716582,6089691.8776370696723,7075305.8233124148101,0,0,0,94525.342564562641201,112734.5823853820184,0
19,36613597.305111631751,6094412.502775862813,7098791.0070154657587,0,0,0,92884.97681830212241,56098.591975339375495,0
20,36723340.50370054692,6099133.1279146559536,7122276.1907185167074,0,22717.608301830747223,0,92884.97681830212241,56098.591975339375495,0
21,36833083.70228946209,6103853.7530534490943,7145761.3744215676561,0,22717.608301830747223,0,171662.65754037181614,127399.25667429514579,8075.3479807080439059
22,36942826.900878377259,6108574.3781922422349,7169246.5581246186048,0,50348.772587901868974,0,237900.49935017048847,148984.47706948628183,19499.167446038838534
23,37052570.099467292428,6113295.0033310353756,7192731.7418276695535,0,50348.772587901868974,0,152369.88553686151863,127060.50641171677853,6203.5717109100223752
24,37162313.298056207597,6118015.6284698285162,7216216.9255307205021,0,50348.772587901868974,0,29404.509339221265691,148984.47706948628183,6203.5717109100223752
25,37272056.496645122766,6122736.2536086216569,7239702.1092337714508,0,9327.6178534907885478,0,29404.509339221265691,148984.47706948628183,1277.492842451172919
26,37381799.695234037936,6127456.8787474147975,7263187.2929368223995,0,0,0,59222.311801063166058,57749.040969540670631,1105.3874157481752718
27,37491542.893822953105,6132177.5038862079382,7286672.4766398733482,0,0,0,0,0,0
28,37577268.448305435479,6127986.2921644924209,7305017.8540386911482,0,0,0,0,0,0
29,37662994.002787917852,6123795.0804427769035,7323363.2314375089481,0,0,0,0,0,0
30,37748719.557270400226,6119603.8687210613862,7341708.6088363267481,0,0,0,0,0,0
31,37834445.1117528826,6115412.6569993458688,7360053.9862351445481,0,0,0,0,0,0
32,37920170.666235364974,6111221.4452776303515,7378399.3636339623481,0,0,0,0,0,0
33,38005896.220717847347,6107030.2335559148341,7396744.7410327801481,0,0,0,68203.841138583098655,0,0
34,38091621.775200329721,6102839.0218341993168,7415090.1184315979481,0,0,0,143888.99252749700099,0,0
35,38177347.329682812095,6098647.8101124837995,7433435.4958304157481,0,0,0,143888.99252749700099,0,0
36,38263072.884165294468,6094456.5983907682821,7451780.873229233548,0,0,0,116679.79675612421124,0,0
