Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_Harad_0,Hydro|Reservoir_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0
0,34525778.005748175085,6003719.3268882008269,6651995.0286332704127,0,0,0,0,0,0
1,34632822.678163021803,6007438.6537764016539,6674902.7243120940402,0,0,0,0,0,0
2,34739867.350577868521,6011157.9806646024808,6697810.4199909176677,0,0,0,8727.676513370446628,20713.919060847943911,0
3,34846912.02299271524,6014877.3075528033078,6720718.1156697412953,0,0,0,8727.676513370446628,20713.919060847943911,0
4,34953956.695407561958,6018596.6344410041347,6743625.8113485649228,0,0,0,42796.220014940125111,20713.919060847943911,1397.4417870157690231
5,35061001.367822408676,6022315.9613292049617,6766533.5070273885503,0,0,0,89191.922975312190829,46117.574000103930302,5861.5395057069235918
6,35168046.040237255394,6026035.2882174057886,6789441.2027062121779,0,0,0,109357.55161316430895,46117.574000103930302,11838.792080556289875
7,35275090.712652102113,6029754.6151056066155,6812348.8983850358054,0,0,0,90475.104203699462232,0,10736.257092217039826
8,35382135.385066948831,6033473.9419938074425,6835256.5940638594329,0,0,0,77562.255711419507861,0,0
9,35489180.057481795549,6037193.2688820082694,6858164.2897426830605,0,0,0,77562.255711419507861,882.30255888889928428,0
10,35596224.729896642268,6040912.5957702090964,6881071.985421506688,0,0,0,77562.255711419507861,882.30255888889928428,0
11,35703269.402311488986,6044631.9226584099233,6903979.6811003303155,0,0,0,37234.591429489846632,0,0
12,35810314.074726335704,6048351.2495466107503,6926887.3767791539431,0,0,0,22603.402162403293914,1157.3534151059702708,0
13,35917358.747141182423,6052070.5764348115772,6949795.0724579775706,0,0,0,22603.402162403293914,29846.260033152262622,0
14,36024403.419556029141,6055789.9033230124041,6972702.7681368011981,0,0,0,22603.402162403293914,50257.843847746633401,0
15,36131448.091970875859,6059509.2302112132311,6995610.4638156248257,0,0,0,0,0,0
16,36238492.764385722578,6063228.557099414058,7018518.1594944484532,0,0,0,0,0,0
17,36345537.436800569296,6066947.883987614885,7041425.8551732720807,0,12738.769230003852499,0,130220.20693825918715,0,14459.227415718010889
18,36452582.109215416014,6070667.2108758157119,7064333.5508520957083,0,12738.769230003852499,0,230106.4647979864385,90442.475376992500969,30914.922762612033694
19,36559626.781630262733,6074386.5377640165389,7087241.2465309193358,0,12738.769230003852499,0,129605.65485072595766,38301.848375798959751,12956.506061170512112
20,36666671.454045109451,6078105.8646522173658,7110148.9422097429633,0,25536.801692060282221,0,87523.430562701891176,51755.617545784494723,12956.506061170512112
21,36773716.126459956169,6081825.1915404181927,7133056.6378885665908,0,25536.801692060282221,0,257609.08556644138298,148984.47706948628183,12956.506061170512112
22,36880760.798874802887,6085544.5184286190197,7155964.3335673902184,0,56300.862812060280703,0,411002.07614219211973,148984.47706948628183,28469.616539087743149
23,36987805.471289649606,6089263.8453168198466,7178872.0292462138459,0,44639.568696596375958,0,221948.8318381862191,124497.7630697186105,9669.9994741847440309
24,37094850.143704496324,6092983.1722050206736,7201779.7249250374734,0,44639.568696596375958,0,1990.5744543947221246,148984.47706948628183,0
25,37201894.816119343042,6096702.4990932215005,7224687.420603861101,0,41021.154734411080426,0,43955.356709108666109,131485.1817887374491,0
26,37308939.488534189761,6100421.8259814223275,7247595.1162826847285,0,0,0,163944.69744369320688,98223.943453850704827,180.61809751647763278
27,37415984.160949036479,6104141.1528696231544,7270502.811961508356,0,0,0,0,0,0
28,37544391.829770617187,6115787.2996401078999,7297982.2159695113078,0,0,0,0,0,545.07124000083649662
29,37672799.498592197895,6127433.4464105926454,7325461.6199775142595,0,0,0,10357.231135050375087,0,0
30,37801207.167413778603,6139079.5931810773909,7352941.0239855172113,0,0,0,50370.034268599258212,0,0
31,37929614.836235359311,6150725.7399515621364,7380420.427993520163,0,0,0,16177.919787881943193,0,0
32,38058022.505056940019,6162371.8867220468819,7407899.8320015231147,0,0,0,0,0,0
33,38186430.173878520727,6174018.0334925316274,7435379.2360095260665,63134.205840000002354,0,0,74048.198594597473857,0,0
34,38314837.842700101435,6185664.1802630163729,7462858.6400175290182,93014.143894047665526,0,0,198846.21766761981416,0,0
35,38443245.511521682143,6197310.3270335011184,7490338.04402553197,93014.143894047665526,0,0,166106.30309505327023,0,0
36,38571653.180343262851,6208956.4738039858639,7517817.4480335349217,93014.143894047665526,0,0,156345.23185763851507,0,0
37,38700060.849164843559,6220602.6205744706094,7545296.8520415378734,93014.143894047665526,0,0,353961.31921972695272,0,0
38,38828468.517986424267,6232248.7673449553549,7572776.2560495408252,93014.143894047665526,0,0,531489.05740766087547,0,11924.782026292479713
39,38956876.186808004975,6243894.9141154401004,7600255.6600575437769,93014.143894047665526,0,0,495643.61851614830084,0,2813.596967322519049
40,39085283.855629585683,6255541.0608859248459,7627735.0640655467287,93014.143894047665526,0,0,438853.08581870381022,0,2813.596967322519049
41,39213691.524451166391,6267187.2076564095914,7655214.4680735496804,93014.143894047665526,0,0,469631.39344658178743,0,8742.7118085700240044
42,39342099.193272747099,6278833.3544268943369,7682693.8720815526322,93014.143894047665526,0,0,594224.98648756369948,0,21689.784252807443409
43,39470506.862094327807,6290479.5011973790824,7710173.2760895555839,93014.143894047665526,0,0,514448.2012497560936,0,11146.221758060841239
44,39598914.530915908515,6302125.6479678638279,7737652.6800975585356,93014.143894047665526,0,0,424416.5311534772045,0,6775.5159940671846925
45,39727322.199737489223,6313771.7947383485734,7765132.0841055614874,93014.143894047665526,0,0,426950.38089503074298,73224.634250258648535,9208.4461671911212761
46,39855729.868559069932,6325417.9415088333189,7792611.4881135644391,93014.143894047665526,0,0,439697.57651216239901,127010.8031509698485,19713.99558102778974
47,39984137.53738065064,6337064.0882793180645,7820090.8921215673909,93014.143894047665526,0,0,404391.1750213833875,62516.770294107176596,18338.668426328105852
48,40112545.206202231348,6348710.23504980281,7847570.2961295703426,93014.143894047665526,0,0,425607.22219706018222,62516.770294107176596,25659.446827653089713
49,40240952.875023812056,6360356.3818202875555,7875049.7001375732943,93014.143894047665526,0,0,573743.21126874943729,142819.55485496582696,37598.661248948534194
50,40369360.543845392764,6372002.528590772301,7902529.1041455762461,156148.3497340476606,0,0,611101.86423936928622,142819.55485496582696,55661.396083066945721
51,40497768.212666973472,6383648.6753612570465,7930008.5081535791978,71964.469826426415239,0,0,582219.8548564495286,104918.89257981257106,21019.841508078054176
52,40626175.88148855418,6395294.822131741792,7957487.9121615821496,0,0,0,486909.95547368988628,104918.89257981257106,6810.5163924482531002
53,40754583.550310134888,6406940.9689022265375,7984967.3161695851013,0,0,0,347827.81882125028642,104918.89257981257106,0
54,40882991.219131715596,6418587.115672711283,8012446.720177588053,0,0,0,251418.25688559858827,104918.89257981257106,0
55,41011398.887953296304,6430233.2624431960285,8039926.1241855910048,0,0,0,0,0,0
56,41142299.570502638817,6442804.4513008389622,8067939.0362936276942,0,0,0,0,0,0
57,41273200.25305198133,6455375.6401584818959,8095951.9484016643837,0,0,0,33541.437157517226296,16082.798879853529797,0
58,41404100.935601323843,6467946.8290161248296,8123964.8605097010732,0,0,0,71901.800000110582914,16082.798879853529797,0
59,41535001.618150666356,6480518.0178737677634,8151977.7726177377626,0,0,0,16063.924714914510332,16082.798879853529797,0
60,41665902.300700008869,6493089.2067314106971,8179990.6847257744521,0,0,0,0,16082.798879853529797,0
61,41796802.983249351382,6505660.3955890536308,8208003.5968338111416,0,0,0,41238.767640323465457,23922.2676204324016,0
