Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_Harad_0,Hydro|Reservoir_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0
0,34517013.056621976197,6000467.0596651043743,6650119.3184022633359,0,0,0,0,0,0
1,34615292.779910624027,6000934.1193302087486,6671151.3038500798866,0,0,0,7229.9166295950890344,0,0
2,34713572.503199271858,6001401.1789953131229,6692183.2892978964373,0,0,0,20159.160085782095848,0,0
3,34811852.226487919688,6001868.2386604174972,6713215.2747457129881,0,0,0,20159.160085782095848,0,0
4,34910131.949776567519,6002335.2983255218714,6734247.2601935295388,0,0,0,53152.354327743545582,0,1337.1888163337127935
5,35008411.673065215349,6002802.3579906262457,6755279.2456413460895,0,0,0,67433.163661479455186,3410.3390191875337223,3271.5394549459465452
6,35106691.39635386318,6003269.41765573062,6776311.2310891626403,0,0,0,67433.163661479455186,3410.3390191875337223,7321.1053577579859848
7,35204971.11964251101,6003736.4773208349943,6797343.216536979191,0,0,0,56015.799065544568293,3410.3390191875337223,7321.1053577579859848
8,35303250.842931158841,6004203.5369859393686,6818375.2019847957417,0,0,0,41739.598665503814118,3410.3390191875337223,7321.1053577579859848
9,35401530.566219806671,6004670.5966510437429,6839407.1874326122925,0,0,0,55073.672465474577621,3410.3390191875337223,0
10,35499810.289508454502,6005137.6563161481172,6860439.1728804288432,0,0,0,83495.307980601588497,3410.3390191875337223,0
11,35598090.012797102332,6005604.7159812524915,6881471.1583282453939,0,0,0,40880.6229580079671,3410.3390191875337223,0
12,35696369.736085750163,6006071.7756463568658,6902503.1437760619447,0,0,0,24908.840516561824188,4245.9208192575633802,0
13,35794649.459374397993,6006538.8353114612401,6923535.1292238784954,0,0,0,24908.840516561824188,10273.109203147530934,0
14,35892929.182663045824,6007005.8949765656143,6944567.1146716950461,0,0,0,24908.840516561824188,10273.109203147530934,0
15,35991208.905951693654,6007472.9546416699886,6965599.1001195115969,0,0,0,0,0,0
16,36089488.629240341485,6007940.0143067743629,6986631.0855673281476,0,5446.4996826349570256,0,0,0,0
17,36187768.352528989315,6008407.0739718787372,7007663.0710151446983,0,36210.560802634958236,0,85381.982383479320561,26983.688162164482492,12183.481809464936305
18,36286048.075817637146,6008874.1336369831115,7028695.0564629612491,0,66974.621922634949442,0,152225.46695155507769,60129.632011475361651,12183.481809464936305
19,36384327.799106284976,6009341.1933020874858,7049727.0419107777998,0,66974.621922634949442,0,135111.3835152357351,7251.6166594271417125,12183.481809464936305
20,36482607.522394932806,6009808.2529671918601,7070759.0273585943505,0,91810.926888262285502,0,135111.3835152357351,7251.6166594271417125,12183.481809464936305
21,36580887.245683580637,6010275.3126322962344,7091791.0128064109012,0,91810.926888262285502,0,256312.81268298055511,86909.35587777683395,12183.481809464936305
22,36679166.968972228467,6010742.3722974006087,7112822.998254227452,0,91816.57680434732174,0,373873.4326093539712,148984.47706948628183,12183.481809464936305
23,36777446.692260876298,6011209.4319625049829,7133854.9837020440027,0,82042.309468822160852,0,232352.44557399780024,124736.30106459584204,6963.6157608254361548
24,36875726.415549524128,6011676.4916276093572,7154886.9691498605534,0,82042.309468822160852,0,1188.7371675626345677,148984.47706948628183,6963.6157608254361548
25,36974006.138838171959,6012143.5512927137315,7175918.9545976771042,0,41021.154734411080426,0,1188.7371675626345677,147024.58740035549272,0
26,37072285.862126819789,6012610.6109578181058,7196950.9400454936549,0,0,0,70511.430250590026844,95965.38190965190006,238.7428824590032832
27,37170565.58541546762,6013077.6706229224801,7217982.9254933102056,0,0,0,0,0,0
28,37308761.735938973725,6028355.8702147873119,7247557.0770018380135,0,0,0,0,0,467.19460240565928189
29,37446957.88646247983,6043634.0698066521436,7277131.2285103658214,0,0,0,0,0,0
30,37585154.036985985935,6058912.2693985169753,7306705.3800188936293,0,0,0,0,0,0
31,37723350.18750949204,6074190.4689903818071,7336279.5315274214372,0,0,0,0,0,0
32,37861546.338032998145,6089468.6685822466388,7365853.6830359492451,0,0,0,0,0,0
33,37999742.48855650425,6104746.8681741114706,7395427.834544477053,0,0,0,100390.18587179225869,0,0
34,38137938.639080010355,6120025.0677659763023,7425001.9860530048609,0,0,0,214139.97854285221547,0,0
35,38276134.789603516459,6135303.2673578411341,7454576.1375615326688,0,0,0,214139.97854285221547,0,0
36,38414330.940127022564,6150581.4669497059658,7484150.2890700604767,0,0,0,203251.02381165247061,0,0
37,38552527.090650528669,6165859.6665415707976,7513724.4405785882846,0,0,0,359938.15111751970835,0,0
38,38690723.241174034774,6181137.8661334356293,7543298.5920871160924,0,0,0,494756.43239162559621,0,9453.8820175747387111
39,38828919.391697540879,6196416.0657253004611,7572872.7435956439003,0,0,0,447666.8558569032466,0,9453.8820175747387111
40,38967115.542221046984,6211694.2653171652928,7602446.8951041717082,0,0,0,389800.16405898082303,0,9453.8820175747387111
41,39105311.692744553089,6226972.4649090301245,7632021.0466126995161,0,0,0,386466.76107120915549,0,6437.85530918481345
42,39243507.843268059194,6242250.6645008949563,7661595.198121227324,0,0,0,470039.81848562735831,0,16473.846458681127842
43,39381703.993791565299,6257528.864092759788,7691169.3496297551319,0,0,0,470039.81848562735831,0,5891.7209577092517065
44,39519900.144315071404,6272807.0636846246198,7720743.5011382829398,0,0,0,470039.81848562735831,0,1525.5058627083308238
45,39658096.294838577509,6288085.2632764894515,7750317.6526468107477,0,0,0,429122.80090427561663,51804.321559525356861,1387.0615498759389084
46,39796292.445362083614,6303363.4628683542833,7779891.8041553385556,0,0,0,404873.74449654709315,65019.792278527442249,1387.0615498759389084
47,39934488.595885589719,6318641.662460219115,7809465.9556638663635,0,0,0,367589.84587455017027,0,0
48,40072684.746409095824,6333919.8620520839468,7839040.1071723941714,0,0,0,387871.42531605105614,0,7256.5264059411147173
49,40210880.896932601929,6349198.0616439487785,7868614.2586809219792,0,0,0,496570.03139422589447,46388.621715576882707,16472.920235449179017
50,40349077.047456108034,6364476.2612358136103,7898188.4101894497871,0,0,0,564373.44507628749125,148304.03677146745031,31689.908152926152979
51,40487273.197979614139,6379754.460827678442,7927762.561697977595,0,0,0,490568.5473330009263,109674.21880440351379,23472.887930117718497
52,40625469.348503120244,6395032.6604195432737,7957336.7132065054029,0,0,0,322494.0799448385369,109674.21880440351379,15591.685369244236426
53,40763665.499026626348,6410310.8600114081055,7986910.8647150332108,0,0,0,248936.9962677382282,109674.21880440351379,0
54,40901861.649550132453,6425589.0596032729372,8016485.0162235610187,0,0,0,236738.55325406271731,105680.96898863272509,0
