Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_DolAmroth_0,Hydro|Reservoir_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0
0,34517013.056621976197,6616973.8817374911159,6000467.0596651043743,0,0,0,0,0,0
1,34615292.779910624027,6614622.414831854403,6000934.1193302087486,0,0,0,7229.9166296155490272,0,0
2,34713572.503199271858,6627460.2462554946542,6001401.1789953131229,0,0,0,7229.9166296155490272,0,0
3,34811852.226487919688,6646400.6039180457592,6001868.2386604174972,0,0,0,7229.9166296155490272,0,0
4,34910131.949776567519,6667432.5893658623099,6002335.2983255218714,0,0,0,40223.110871597353253,1337.1888163449762033,0
5,35008411.673065215349,6688464.5748136788607,6005081.9302520407364,0,0,0,54503.920205353722849,3271.5394549684770027,1244.7453708124578498
6,35106691.39635386318,6709496.5602614954114,6005548.9899171451107,0,0,0,109188.8729764270538,7321.1053577917746225,1244.7453708124578498
7,35204971.11964251101,6730528.5457093119621,6006016.049582249485,0,0,0,97771.5083805147151,3455.3577298632708334,290.63715482388653299
8,35303250.842931158841,6744596.0290102772415,6006483.1092473538592,0,0,0,83495.307980496480013,0,290.63715482388653299
9,35401530.566219806671,6746843.4353619460016,6006950.1689124582335,0,0,0,83495.307980496480013,0,290.63715482388653299
10,35499810.289508454502,6754806.4659830415621,6007417.2285775626078,0,0,0,83495.307980496480013,0,290.63715482388653299
11,35598090.012797102332,6775838.4514308581129,6007884.2882426669821,0,0,0,40880.622957937885076,0,290.63715482388653299
12,35696369.736085750163,6796870.4368786746636,6009230.9076972855255,0,0,0,24908.840516526786814,0,290.63715482388653299
13,35794649.459374397993,6817902.4223264912143,6016042.3761875042692,0,0,0,24908.840516526786814,0,290.63715482388653299
14,35892929.182663045824,6838934.4077743077651,6016509.4358526086435,0,0,0,24908.840516526786814,0,290.63715482388653299
15,35991208.905951693654,6859966.3932221243158,6016976.4955177130178,0,0,0,0,0,0
