Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_DolAmroth_0,Hydro|Reservoir_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0
0,34525778.005748175085,6618849.5919684981927,6003719.3268882008269,0,0,0,0,0,0
1,34632822.678163021803,6621191.2129679378122,6007438.6537764016539,0,0,0,0,0,357.55784627222391237
2,34739867.350577868521,6638381.0987073509023,6032962.1059917779639,0,0,0,8727.6765133909066208,0,357.55784627222391237
3,34846912.02299271524,6659250.0013400409371,6036681.4328799787909,0,0,0,8727.6765133909066208,0,357.55784627222391237
4,34953956.695407561958,6682157.6970188645646,6040400.7597681796178,0,0,0,42796.220014980935957,1397.4417870270324329,357.55784627222391237
5,35061001.367822408676,6705065.3926976881921,6070860.7760660899803,0,0,0,89191.922975373454392,5861.539505729452685,357.55784627222391237
6,35168046.040237255394,6727973.0883765118197,6074580.1029542908072,0,0,0,109357.5516132460325,11838.792080590079422,357.55784627222391237
7,35275090.712652102113,6750880.7840553354472,6078299.4298424916342,0,0,0,99873.532306290828274,8017.8561658587568672,0
8,35382135.385066948831,6771205.9988541305065,6082018.7567306924611,0,0,0,86960.683814033429371,0,0
9,35489180.057481795549,6777662.9650667794049,6086666.8231545323506,0,0,0,86960.683814033429371,0,0
10,35596224.729896642268,6789747.0026005264372,6090386.1500427331775,0,0,0,86960.683814033429371,0,0
11,35703269.402311488986,6812654.6982793500647,6094105.4769309340045,0,0,0,46633.019532138823706,0,0
12,35810314.074726335704,6835562.3939581736922,6099043.070571844466,0,0,0,32001.830265087315638,0,0
13,35917358.747141182423,6858470.0896369973198,6132961.2465316401795,0,0,0,32001.830265087315638,0,0
14,36024403.419556029141,6881377.7853158209473,6158166.4511193810031,0,0,0,32001.830265087315638,0,0
15,36131448.091970875859,6904285.4809946445748,6161885.77800758183,0,0,0,9398.4281027190809255,0,0
16,36238492.764385722578,6927193.1766734682024,6172213.7177788382396,0,0,0,4335.3318704077555594,0,0
17,36345537.436800569296,6950100.8723522918299,6211933.0446670390666,0,0,0,149014.76622441670042,0,48222.278426754055545
18,36452582.109215416014,6973008.5680311154574,6251652.3715552398935,0,0,0,249695.32305587752489,15661.396375192149208,104464.75380371494975
19,36559626.781630262733,6995916.2637099390849,6291371.6984434407204,0,0,0,146822.18714871851262,0,14429.389960381013225
20,36666671.454045109451,7018823.9593887627125,6331091.0253316415474,0,0,0,104664.65722704524524,0,6998.011815420174571
21,36773716.126459956169,7041731.65506758634,6370810.3522198423743,0,0,0,274602.02633355278522,148.28589726365316892,70026.871339090328547
22,36880760.798874802887,7064639.3507464099675,6410529.6791080432013,0,0,6638.3211877769026614,427995.01690932398196,15661.396375192149208,108984.47709958089399
