Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_DolAmroth_0,Hydro|Reservoir_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0
0,34504968.863145537674,6614396.4090559380129,5995998.0165356965736,0,0,0,0,0,0
1,34591204.392957746983,6608231.7752936892211,5991996.0330713931471,0,0,0,36150.147239216508751,0,8640.8922767996555194
2,34677439.922769956291,6618966.0773800183088,5999077.3587943622842,0,0,0,100555.1252819065121,0,8640.8922767996555194
3,34763675.452582165599,6634558.4847935233265,5995075.3753300588578,0,0,0,90059.481942556652939,0,8229.7584448226443783
4,34849910.982394374907,6653012.9975597867742,5991073.3918657554314,0,0,0,112797.34695522363472,537.73601787569657517,8229.7584448226443783
5,34936146.512206584215,6671467.5103260502219,6005015.1772644314915,0,0,0,127006.70518240699312,2771.8146704202049477,8229.7584448226443783
6,35022382.042018793523,6689922.0230923136696,6001013.193800128065,0,0,0,194235.46594802092295,6846.786541782965287,8229.7584448226443783
7,35108617.571831002831,6708376.5358585771173,5997011.2103358246386,0,0,0,165713.72237335913815,2159.2060937624773942,4114.2255405560017607
8,35194853.10164321214,6717777.8967351084575,5993009.2268715212122,0,0,0,135699.98607588358573,0,4114.2255405560017607
9,35281088.631455421448,6717434.291544505395,5989007.2434072177857,0,0,0,135699.98607588358573,0,4114.2255405560017607
10,35367324.161267630756,6723062.7454251684248,5985005.2599429143593,0,0,0,135699.98607588358573,0,4114.2255405560017607
11,35453559.691079840064,6741517.2581914318725,5981003.2764786109328,0,0,0,75238.351003274190589,0,3224.3544318059789475
12,35539795.220892049372,6759971.7709576953202,5977001.2930143075064,0,0,0,44436.427677004765428,0,3224.3544318059789475
13,35626030.75070425868,6778426.283723958768,5994401.2380748679861,0,0,0,44436.427677004765428,0,3224.3544318059789475
14,35712266.280516467988,6796880.7964902222157,6001164.3161702016369,0,0,0,44436.427677004765428,0,3224.3544318059789475
15,35798501.810328677297,6815335.3092564856634,5997162.3327058982104,0,0,0,0,0,0
16,35884737.340140886605,6833789.8220227491111,5997322.4301803130656,0,0,0,0,0,0
