Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2040,391.0412308257471
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2045,12.599256779117965
Final Energy Demand [TWh],Industry,Gondor,Hardcoal,2050,11.047444040140023
Final Energy Demand [TWh],Industry,Gondor,H2,2040,20.123794791941442
Final Energy Demand [TWh],Industry,Gondor,H2,2045,11.60051489170697
Final Energy Demand [TWh],Industry,Gondor,H2,2050,37.15622126237036
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2018,826.4397154903475
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2025,512.6724396341352
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2030,301.35651454079914
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2035,251.016862502123
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2040,300.0178149890578
Final Energy Demand [TWh],Industry,Gondor,Gas_Natural,2045,405.2405077470095
Final Energy Demand [TWh],Industry,Gondor,Oil,2018,0.0012359088054826601
Final Energy Demand [TWh],Industry,Gondor,Oil,2025,0.0032215650028542347
Final Energy Demand [TWh],Industry,Gondor,Oil,2030,0.009326317078369516
Final Energy Demand [TWh],Industry,Gondor,Oil,2035,0.022505756891915623
Final Energy Demand [TWh],Industry,Gondor,Oil,2040,0.053719323410676
Final Energy Demand [TWh],Industry,Gondor,Power,2018,14.981996947227653
Final Energy Demand [TWh],Industry,Gondor,Power,2025,95.6521713133441
Final Energy Demand [TWh],Industry,Gondor,Power,2030,98.54783037661704
Final Energy Demand [TWh],Industry,Gondor,Power,2035,165.7346823637283
Final Energy Demand [TWh],Industry,Gondor,Power,2040,219.68111161308752
Final Energy Demand [TWh],Industry,Gondor,Power,2045,260.55539544225684
Final Energy Demand [TWh],Industry,Gondor,Power,2050,237.13793357349888
Final Energy Demand [TWh],Industry,Gondor,Lignite,2018,0.29211212792697194
Final Energy Demand [TWh],Industry,Gondor,Lignite,2025,0.20348919357571724
Final Energy Demand [TWh],Industry,Gondor,Lignite,2030,0.12288855035719047
Final Energy Demand [TWh],Industry,Gondor,Lignite,2035,0.06133934987747398
Final Energy Demand [TWh],Industry,Gondor,Lignite,2040,0.0035705203807627197
Final Energy Demand [TWh],Industry,Gondor,Gas_Synth,2050,357.8646259702199
Final Energy Demand [TWh],Industry,Rohan,Biomass,2018,4.427321890036737
Final Energy Demand [TWh],Industry,Rohan,Biomass,2025,98.95941944509899
Final Energy Demand [TWh],Industry,Rohan,Biomass,2030,119.02180621508556
Final Energy Demand [TWh],Industry,Rohan,Biomass,2035,124.03461193739709
Final Energy Demand [TWh],Industry,Rohan,Biomass,2040,83.92279862710477
Final Energy Demand [TWh],Industry,Rohan,Biomass,2045,136.7395910418082
Final Energy Demand [TWh],Industry,Rohan,Biomass,2050,129.55268651304323
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2018,191.8504478578175
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2025,209.4995337623214
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2030,179.10177696163677
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2035,152.33925927176756
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2040,125.03503362123695
Final Energy Demand [TWh],Industry,Rohan,Hardcoal,2045,0.48387650809065963
Final Energy Demand [TWh],Industry,Rohan,H2,2040,26.017523971167382
Final Energy Demand [TWh],Industry,Rohan,H2,2045,16.0413861878686
Final Energy Demand [TWh],Industry,Rohan,H2,2050,31.64932500383405
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2018,350.35051256617055
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2025,141.66884451738693
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2030,117.34733676638102
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2035,106.73146294759869
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2040,77.53498351883975
Final Energy Demand [TWh],Industry,Rohan,Gas_Natural,2045,26.51550251746419
Final Energy Demand [TWh],Industry,Rohan,Oil,2018,0.01521320789894984
Final Energy Demand [TWh],Industry,Rohan,Oil,2025,0.042314185943662756
Final Energy Demand [TWh],Industry,Rohan,Oil,2030,0.12326339597755648
Final Energy Demand [TWh],Industry,Rohan,Oil,2035,0.30607834313965565
Final Energy Demand [TWh],Industry,Rohan,Oil,2040,0.1223594043504991
Final Energy Demand [TWh],Industry,Rohan,Power,2018,1.4971101950641785
Final Energy Demand [TWh],Industry,Rohan,Power,2025,85.1789187142431
Final Energy Demand [TWh],Industry,Rohan,Power,2030,81.11106517133952
Final Energy Demand [TWh],Industry,Rohan,Power,2035,83.08340213278582
Final Energy Demand [TWh],Industry,Rohan,Power,2040,119.49205833786507
Final Energy Demand [TWh],Industry,Rohan,Power,2045,175.8752612562806
Final Energy Demand [TWh],Industry,Rohan,Power,2050,170.13452538624395
Final Energy Demand [TWh],Industry,Rohan,Gas_Synth,2050,14.150988914108822
Final Energy Demand [TWh],Industry,Harad,Biomass,2018,0.3573170195184373
Final Energy Demand [TWh],Industry,Harad,Biomass,2025,49.2177558989525
Final Energy Demand [TWh],Industry,Harad,Biomass,2030,52.47978795738302
Final Energy Demand [TWh],Industry,Harad,Biomass,2035,54.10705220030017
Final Energy Demand [TWh],Industry,Harad,Biomass,2040,49.43997474277176
Final Energy Demand [TWh],Industry,Harad,Biomass,2045,58.63241861620404
Final Energy Demand [TWh],Industry,Harad,Biomass,2050,55.122852362118294
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2018,134.55041535806706
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2025,103.64408155285547
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2030,59.92775254980699
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2035,41.29502583398729
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2040,29.350667735122787
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2045,4.790278441570014
Final Energy Demand [TWh],Industry,Harad,Hardcoal,2050,4.164920494811217
Final Energy Demand [TWh],Industry,Harad,H2,2035,30.167975307457723
Final Energy Demand [TWh],Industry,Harad,H2,2040,46.27658739480984
Final Energy Demand [TWh],Industry,Harad,H2,2045,28.153455814300393
Final Energy Demand [TWh],Industry,Harad,H2,2050,35.014533290172
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2018,399.2906051547539
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2025,284.61845205187205
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2030,269.18575541306217
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2035,215.1712858287732
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2040,186.8131780808003
Final Energy Demand [TWh],Industry,Harad,Gas_Natural,2045,156.84099033191168
Final Energy Demand [TWh],Industry,Harad,Oil,2018,0.03685429848691792
Final Energy Demand [TWh],Industry,Harad,Oil,2025,0.09625707050719613
Final Energy Demand [TWh],Industry,Harad,Oil,2030,0.286499327022491
Final Energy Demand [TWh],Industry,Harad,Oil,2035,0.14310313155485868
Final Energy Demand [TWh],Industry,Harad,Power,2018,4.129016446337918
Final Energy Demand [TWh],Industry,Harad,Power,2025,43.273271261382874
Final Energy Demand [TWh],Industry,Harad,Power,2030,55.95512112681965
Final Energy Demand [TWh],Industry,Harad,Power,2035,67.55850828673408
Final Energy Demand [TWh],Industry,Harad,Power,2040,72.08613354894567
Final Energy Demand [TWh],Industry,Harad,Power,2045,86.29934670972075
Final Energy Demand [TWh],Industry,Harad,Power,2050,90.36764576716523
Final Energy Demand [TWh],Industry,Harad,Gas_Synth,2040,1.010469321712274
Final Energy Demand [TWh],Industry,Harad,Gas_Synth,2045,7.370074433252066
Final Energy Demand [TWh],Industry,Harad,Gas_Synth,2050,146.88549215067275
Final Energy Demand [TWh],Industry,Mordor,Biomass,2018,7.52040645283278
Final Energy Demand [TWh],Industry,Mordor,Biomass,2025,21.755795981191692
Final Energy Demand [TWh],Industry,Mordor,Biomass,2030,60.468872465548564
Final Energy Demand [TWh],Industry,Mordor,Biomass,2035,57.40120787069614
Final Energy Demand [TWh],Industry,Mordor,Biomass,2040,47.163972130930304
Final Energy Demand [TWh],Industry,Mordor,Biomass,2045,62.666337290344906
Final Energy Demand [TWh],Industry,Mordor,Biomass,2050,61.16370556320933
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2018,185.44662783122317
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2025,278.49113473030627
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2030,150.8914308158866
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2035,130.0880878283138
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2040,99.67471881016644
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2045,1.359371120542392
Final Energy Demand [TWh],Industry,Mordor,Hardcoal,2050,1.0845743825487775
Final Energy Demand [TWh],Industry,Mordor,H2,2030,2.0359358645039425
Final Energy Demand [TWh],Industry,Mordor,H2,2035,18.09477321341164
Final Energy Demand [TWh],Industry,Mordor,H2,2040,36.156833795123
Final Energy Demand [TWh],Industry,Mordor,H2,2045,23.47558319897973
Final Energy Demand [TWh],Industry,Mordor,H2,2050,30.15163712242021
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2018,139.64996682803312
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2025,46.841970016796814
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2030,59.074040767743206
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2035,43.48424126728778
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2040,37.23380243470504
Final Energy Demand [TWh],Industry,Mordor,Gas_Natural,2045,52.681268709353574
Final Energy Demand [TWh],Industry,Mordor,Oil,2018,0.0024346615237645663
Final Energy Demand [TWh],Industry,Mordor,Oil,2025,0.0075880154452059295
Final Energy Demand [TWh],Industry,Mordor,Oil,2030,0.02294949879719521
Final Energy Demand [TWh],Industry,Mordor,Oil,2035,0.05767374822088752
Final Energy Demand [TWh],Industry,Mordor,Power,2018,0.4593209027741494
Final Energy Demand [TWh],Industry,Mordor,Power,2025,6.145979901117125
Final Energy Demand [TWh],Industry,Mordor,Power,2030,44.89609381498209
Final Energy Demand [TWh],Industry,Mordor,Power,2035,52.624097916738236
Final Energy Demand [TWh],Industry,Mordor,Power,2040,61.85288141081632
Final Energy Demand [TWh],Industry,Mordor,Power,2045,92.81873797111977
Final Energy Demand [TWh],Industry,Mordor,Power,2050,88.3347969132586
Final Energy Demand [TWh],Industry,Mordor,Lignite,2018,0.04616333118845916
Final Energy Demand [TWh],Industry,Mordor,Lignite,2025,0.03360654863598966
Final Energy Demand [TWh],Industry,Mordor,Lignite,2030,0.021123607032641364
Final Energy Demand [TWh],Industry,Mordor,Lignite,2035,0.009569133670257404
Final Energy Demand [TWh],Industry,Mordor,Gas_Synth,2045,5.498771385410825
Final Energy Demand [TWh],Industry,Mordor,Gas_Synth,2050,51.85387368469577
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2018,11.770253741415628
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2025,8.436419291462446
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2030,5.394496270708374
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2035,3.4542325087228187
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2040,2.2053336337557075
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2045,1.2184278037242073
Final Energy Demand [TWh],Buildings,DolAmroth,Biomass,2050,0.5662764520197785
Final Energy Demand [TWh],Buildings,DolAmroth,Hardcoal,2018,9.811199997547199
Final Energy Demand [TWh],Buildings,DolAmroth,Hardcoal,2025,0.09229280596231985
Final Energy Demand [TWh],Buildings,DolAmroth,Hardcoal,2030,0.05555226914636205
Final Energy Demand [TWh],Buildings,DolAmroth,Hardcoal,2035,0.02772870266393311
Final Energy Demand [TWh],Buildings,DolAmroth,Hardcoal,2040,0.00860820004525703
Final Energy Demand [TWh],Buildings,DolAmroth,H2,2040,5.486197898294582
Final Energy Demand [TWh],Buildings,DolAmroth,H2,2045,3.0332221900451075
Final Energy Demand [TWh],Buildings,DolAmroth,H2,2050,3.62718727584992
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2018,67.27185147309332
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2025,51.203042908489145
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2030,46.53739293093498
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2035,41.83096713296827
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2040,24.491165956608043
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Natural,2045,3.635034976555768
Final Energy Demand [TWh],Buildings,DolAmroth,Oil,2018,0.09664070385422907
Final Energy Demand [TWh],Buildings,DolAmroth,Oil,2025,0.26112461287940136
Final Energy Demand [TWh],Buildings,DolAmroth,Oil,2030,0.7183013810079243
Final Energy Demand [TWh],Buildings,DolAmroth,Oil,2035,1.6489287837100384
Final Energy Demand [TWh],Buildings,DolAmroth,Oil,2040,0.18747182062998477
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2018,2.4178786995942936
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2025,7.624094992171019
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2030,6.997698353668447
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2035,7.225140406640081
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2040,10.621822475285876
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2045,12.802662083504659
Final Energy Demand [TWh],Buildings,DolAmroth,Power,2050,11.373478592348667
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Synth,2045,0.07146621438702969
Final Energy Demand [TWh],Buildings,DolAmroth,Gas_Synth,2050,3.213127120100671
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2018,41.201970016126594
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2025,34.863564198699116
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2030,22.23024794433331
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2035,13.880446982395505
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2040,9.173852083242156
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2045,5.165664270605167
Final Energy Demand [TWh],Buildings,Gondor,Biomass,2050,2.4012498591913034
Final Energy Demand [TWh],Buildings,Gondor,Hardcoal,2018,21.238562767200335
Final Energy Demand [TWh],Buildings,Gondor,Hardcoal,2025,7.983451695047319
Final Energy Demand [TWh],Buildings,Gondor,Hardcoal,2030,3.9849209951832387
Final Energy Demand [TWh],Buildings,Gondor,Hardcoal,2035,1.5916041221851844
Final Energy Demand [TWh],Buildings,Gondor,Hardcoal,2040,0.6355526277757642
Final Energy Demand [TWh],Buildings,Gondor,H2,2050,86.8845737557648
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2018,848.7920025405817
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2025,706.3139154175312
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2030,648.413303105551
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2035,581.6326718098064
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2040,486.4070661886461
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2045,354.1160646614014
Final Energy Demand [TWh],Buildings,Gondor,Gas_Natural,2050,73.52263007325439
Final Energy Demand [TWh],Buildings,Gondor,Oil,2018,0.09320508458643854
Final Energy Demand [TWh],Buildings,Gondor,Oil,2025,0.23001343417686881
Final Energy Demand [TWh],Buildings,Gondor,Oil,2030,0.6309455415000146
Final Energy Demand [TWh],Buildings,Gondor,Oil,2035,1.4123604532403133
Final Energy Demand [TWh],Buildings,Gondor,Oil,2040,3.3465558504750836
Final Energy Demand [TWh],Buildings,Gondor,Power,2018,7.6305075024417635
Final Energy Demand [TWh],Buildings,Gondor,Power,2025,5.236272702712313
Final Energy Demand [TWh],Buildings,Gondor,Power,2030,7.162080608444522
Final Energy Demand [TWh],Buildings,Gondor,Power,2035,6.947117228044516
Final Energy Demand [TWh],Buildings,Gondor,Power,2040,66.22151444727754
Final Energy Demand [TWh],Buildings,Gondor,Power,2045,72.99457850444553
Final Energy Demand [TWh],Buildings,Gondor,Power,2050,71.86812409315048
Final Energy Demand [TWh],Buildings,Gondor,Gas_Synth,2050,156.48695058656554
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2018,53.35545621509554
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2025,38.71944262833849
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2030,25.225548984914408
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2035,16.732791402602935
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2040,11.09200159083192
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2045,6.162729072191811
Final Energy Demand [TWh],Buildings,Rohan,Biomass,2050,2.8628323629567376
Final Energy Demand [TWh],Buildings,Rohan,Hardcoal,2018,10.54229111658467
Final Energy Demand [TWh],Buildings,Rohan,Hardcoal,2025,0.5024685541800396
Final Energy Demand [TWh],Buildings,Rohan,Hardcoal,2030,0.2514117996838465
Final Energy Demand [TWh],Buildings,Rohan,Hardcoal,2035,0.1254912381935387
Final Energy Demand [TWh],Buildings,Rohan,Hardcoal,2040,0.040450749986422736
Final Energy Demand [TWh],Buildings,Rohan,H2,2050,9.311611568230047
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2018,451.7795314782858
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2025,383.2961880871615
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2030,358.257429414962
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2035,340.70377066377034
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2040,305.2499611225955
Final Energy Demand [TWh],Buildings,Rohan,Gas_Natural,2045,91.71196393276865
