Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2018,24.587605116786555
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2025,20.137824450867715
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2030,10.69835878507669
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2035,4.91121905435297
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2040,1.882827442034276
DolAmroth,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2045,0.09263758786061004
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2025,0.34034738557589034
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2030,0.1983561092276168
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2035,0.09628681404415652
DolAmroth,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2040,0.037394129626361176
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,5.212311782224503
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,5.102577164072231
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,5.084992772736587
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,4.790929608671329
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,3.415849764328397
DolAmroth,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,1.9034062697522547
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2018,0.22253354275703854
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2025,0.15496099203035302
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2030,0.09297840194229155
DolAmroth,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.0464098136987497
