Name,Zone,NumberUnits,MaxPower,Capacity,MinPower,MaxPowerProfile,Inertia,Gamma,PrimaryRho,SecondaryRho
WindOnshore,Eastern Europe,1,89260,89260,0,EDF__WindOnshore-LoadFactor-PresentClimate-AT__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,Italy,1,41293,41293,0,EDF__WindOnshore-LoadFactor-PresentClimate-IT__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,Portugal,1,11474,11474,0,EDF__WindOnshore-LoadFactor-PresentClimate-PT__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,Scandinavia,1,104427,104427,0,EDF__WindOnshore-LoadFactor-PresentClimate-NO__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,Switzerland,1,1382,1382,0,EDF__WindOnshore-LoadFactor-PresentClimate-CH__13082019__13082019__v1.csv,0,0.5,0.1,0.1
RoR,01_ES,1,3832743,437.5277397,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
RoR,02_ES,1,10207807,1165.274772,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
RoR,05_ES,1,4003062,456.9705479,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
RoR,08_ES,1,15030363,1715.794863,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
RoR,09_ES,1,120847,13.79531963,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
RoR,11_ES,1,2700178,308.2394977,0,EDF__RunOfRiver-HourlyCoefficient-PresentClimate-ES__18092019__18092019__v1.csv,4.5,1,0.1,0.1
WindOnshore,01_ES,1,7287,7287,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,02_ES,1,5887,5887,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,03_ES,1,12403,12403,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,04_ES,1,5682,5682,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,05_ES,1,10326,10326,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,06_ES,1,3584,3584,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,07_ES,1,183,183,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,08_ES,1,2052,2052,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,09_ES,1,3310,3310,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,10_ES,1,2567,2567,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
WindOnshore,11_ES,1,14167,14167,0,EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,01_ES,1,105,105,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,02_ES,1,4114,4114,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,03_ES,1,6036,6036,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,04_ES,1,1563,1563,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,05_ES,1,3548,3548,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,06_ES,1,3239,3239,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,07_ES,1,4844,4844,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,08_ES,1,13807,13807,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,09_ES,1,6220,6220,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,10_ES,1,3160,3160,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
PV,11_ES,1,4187,4187,0,EDF__PV-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv,0,0.5,0.1,0.1
