time,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2030-12-12 12:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,37678.3679934097,32258.90702389204,26566.15872555815,14868.786821936652,2379.4556010756623,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-36967.1711416805,0.0
2030-12-12 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,0.0,0.0,0.0,0.0,2433.388344105535,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-13797.96165342826,0.0
2030-12-13 00:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,0.0,0.0,0.0,0.0,3173.991320847302,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-49828.07702123076,0.0
2030-12-13 06:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,29444.6403785563,25209.47607098913,20760.744999638107,11619.560616689076,2003.2831591104068,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,103535.25324460184,0.0,32341.798063345836
2030-12-13 12:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,102815.35994582775,240000.0,23.6976182667684,40447.9240280929,34630.10448753832,28518.90957797273,15961.719994581372,2381.7502123313966,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,0.0,0.0
2030-12-13 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,0.0,0.0,0.0,0.0,2203.6583676220407,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-17816.283535981893,0.0
2030-12-14 00:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,0.0,0.0,0.0,0.0,3135.1892569424335,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-54934.889148318485,0.0
2030-12-14 06:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,150000.0,240000.0,23.6976182667684,32428.029286891408,27763.74979714751,22864.264538827356,12796.87736492838,1638.7025680119932,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,63825.30883645837,0.0,0.0
2030-12-14 12:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,41951.25182520459,240000.0,23.6976182667684,37737.78673503498,32309.77928199785,26608.053526351167,14892.234881115024,1510.8608340991948,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,-14061.00774443647,0.0
2030-12-14 18:00:00,36000.0,2814.849686358438,10700.231703475554,0.0,90000.0,84081.92773131635,240000.0,23.6976182667684,0.0,0.0,0.0,0.0,1243.8293569298423,0.0,0.0,0.0,0.0,3411.9127738568186,0.0,0.0,0.0,0.0,0.0
