Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_DolAmroth_0,Biomass|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|CCGT|w/o CCS_Harad_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_DolAmroth_0,Nuclear_Harad_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_DolAmroth_0,Solar|PV|Utility|Opt_Harad_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_DolAmroth_0,Hydro|Run of River_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
0,0,0,33145.436664772234508,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,34860.406274106710043,0,0,12263.588388062289596,15003.755620523992548,240000,51914.257641406147741,23.69761826676840144,5993.2662219811827526,1078.0011487620699882,1811.2023690703063039,295.75282499999951824,922.94705640241409128,826.1549382793617724,148.09620932354607703,760.07404644904374891,2840.8577977915501833,287.57282012722089348,425.40508329738639759,40574.574816980697506,1489.1792000000000371,923.97805445138192226,30434.348967884001468,9236.0134966666682885,86230.080828027799726,106097.15701986539352,14051.940449770081614,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
1,0,0,23383.452353452874377,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,0,0,0,56707.114068533534009,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,114102.21567982659326,74401.761184792834683,77951.377162381293601,10252.943099999998594,63700.197866687180067,55274.151265998487361,5134.091305873454985,52458.98647844826337,140184.63722230677377,9969.3646607464706904,29360.717704833212338,39966.538087551060016,1340.5072000000000116,765.25597996073179274,33437.544336473154544,8313.9373633333343605,79963.111467755967169,103170.15822427955572,12826.843046782812962,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-7610.4385574900516076,0,0,0,0,0
2,0,0,8194.1540241761576908,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,34663.617679265560582,71.540352000000595467,10700.231703475554241,0,0,0,3594.430447054742217,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,101640.50967195635894,77333.334425636276137,80538.246272274147486,9011.8606500000005326,66210.108822136186063,61138.842956159918685,4512.6277364114212105,54525.971971170976758,151338.21139249327825,8762.6083764847680868,30517.586749124602647,40216.729468910634751,856.59360000000003765,1526.291625868001347,94850.762441856393707,5312.6648900000009235,49517.521811602186062,67106.43255905478145,17639.262735049454932,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
3,0,0,2091.6277852652965521,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,27166.813424727835809,0,0,87596.921412455150858,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2628.9239809158634671,2364.0396203270506703,3175.6659860556246713,192.27509999999946899,2024.0084264336014712,2633.4540476941297129,96.280444514116751975,1666.8304688276718935,6222.8098443983226389,186.95710767003998853,932.90667895709032109,62779.115226710498973,2152.4671999999995933,1214.4495795710001858,121813.1288368235837,13349.780946666669479,38704.48874237905693,36301.532696838461561,28007.517197977311298,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
4,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,772.57419118204325059,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,6010.0707613962513278,1042.9122443643334464,1406.5456972150930142,230.8119750000000181,892.90515796523118297,535.50841916021386169,115.57752174972846149,735.33365950077802609,2235.3944237804948898,224.42812023818777334,411.55816085646597458,50543.188818926770182,2166.0671999999999571,937.57690862364870554,164816.01534110546345,13434.129280000001017,26352.928217716103973,50834.736454086021695,62499.122576719440985,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-34729.678149454528466,-1407.5671750999749747,0,0,0,0
5,0,0,0,0,33720.427738585865882,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,122236.66631614715152,70489.563525789024425,50946.999110949152964,9690.7407750000002125,60350.710421717005374,34124.388666399623617,4852.5723272960403847,49700.585053178721864,96938.306579898737255,9422.7118668726288888,27816.870768384651456,31928.920053625774017,2822.7487999999998465,589.9964483272558482,156561.69639369600918,17506.923286666667991,25737.181872569573898,84011.833062137447996,56609.304129306976392,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-15032.430877638282254,-2036.158566972105973,-1310.2582850657449853,0,0,0
6,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,71129.243851187085966,71.540352000000595467,10700.231703475554241,0,0,0,32952.559675067983335,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,99652.736211419323809,67533.51699348911643,53495.710153566258668,7384.418775000000096,57819.846286082458391,44032.081025218038121,3697.6973208459739908,47616.344000303201028,115957.49127173640591,7180.1786918760662957,26650.343976879768888,22579.017891885436256,3316.50879999999961,2032.6754411627407535,165350.20415320823668,20569.263953333331301,44265.939003177161794,103723.61025030612655,38672.270440294363652,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-57563.108180077193538,-4262.700950340313284,0,0,0,0
7,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,90000,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2431.5709255595816103,1725.5535381789363782,3123.9935636409863946,154.92397499999998445,1477.35886975249241,3249.6881456471755882,77.577123501139254813,1216.6484809726373442,7724.8495857359885122,150.63904933475831172,680.94477217030078009,43194.965754415708943,2058.0144000000000233,1764.1183913873960591,103711.06128138692293,12763.976810000001933,48250.136417767615058,70334.301766248841886,23024.205492457833316,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,10846.496366116727586,3672.4602465320785996,906.40280518914278218,0,0,0
8,0,0,6964.502146851177713,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,2492.4185770310932639,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,6328.4369161576705665,828.53424464245756553,1764.7923894919254053,173.3987250000000131,709.36217748885940182,771.93972757453730082,86.828228518311220796,584.18061675552803536,2791.489778130898685,168.60282012425244602,326.95946545290178165,25464.025615814611228,672.16800000000000637,2344.2924029768905712,75569.747693288576556,4168.8419499999999971,43523.19734699883702,53424.416530437454639,21873.264560612300556,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,13562.390380017317511,3282.589843370107701,0,0,0,0
9,0,0,18784.579096147470409,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,84639.862117319949903,71.540352000000595467,10700.231703475554241,0,0,0,20361.487820045913395,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,120728.32702332489134,64824.32649834217591,73485.586656866842532,8493.2977499999997235,55500.331695953616872,55627.584851062732923,4252.9609021696005584,45706.155514314748871,143735.64477009046823,8258.3880175876038265,25581.232492555325734,12045.706819427250593,443,1685.2762989219781957,61276.894428641258855,2747.5229166666667879,46112.3661282645553,32018.049576521021663,35932.410545478909626,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
