time,Hydro|Reservoir,Biomass|w/o CCS,Coal|Hard coal|w/o CCS,Coal|Lignite|w/o CCS,Gas|CCGT|w/o CCS,Gas|OCGT|w/o CCS,Nuclear,Oil|w/o CCS,Solar|PV|Rooftop|Commercial,Solar|PV|Utility|Average,Solar|PV|Utility|Inf,Solar|PV|Utility|Opt,Wind|Onshore|Avg,Wind|Onshore|Opt,Wind|Offshore|Deep,Wind|Offshore|Shallow,Wind|Offshore|Transitional,Hydro|Run of River,Hydro|Pumped Storage,Hydro|Pumped Storage_PUMP,Battery|Lithium-Ion,Battery|Lithium-Ion_PUMP,SlackUnit
2030-07-02 00:00:00,0.0,0,98675.72927520545,32038.7045568228,0.0,0.0,53616.54736039019,51914.257641406155,6659.1846910902,2012.447076744784,917.9499314215144,3156.508664212829,40574.5748169807,30434.348967884,86230.08082802781,106097.1570198654,14051.94044977008,18546.992695030152,0.0,0.0,0.0,0.0,0.0
2030-07-02 06:00:00,0.0,0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,126780.2396442518,86612.64129153476,61415.723628887215,155760.7080247853,39966.53808755105,33437.544336473155,79963.11146775597,103170.15822427956,12826.843046782811,18546.992695030152,0.0,0.0,0.0,-38052.786567596326,0.0
2030-07-02 12:00:00,0.0,0,98675.72927520545,0.0,0.0,0.0,0.0,51914.257641406155,112933.89963550708,89486.94030252681,67932.04772906657,168153.56821388143,40216.72946891064,94850.7624418564,49517.521811602186,67106.43255905478,17639.262735049455,18546.992695030152,0.0,0.0,0.0,-67794.71372914738,0.0
2030-07-02 18:00:00,0.0,0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,2921.026645462072,3528.5177622840297,2926.060052993476,6914.233160442593,62779.1152267105,121813.12883682358,38704.48874237906,36301.53269683846,28007.51719797731,18546.992695030152,0.0,0.0,9970.861172382356,0.0,0.0
2030-07-03 00:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,51914.257641406155,6677.856401551395,1562.8285524612095,595.0093546224537,2483.771581978323,50543.18881892677,164816.01534110546,26352.928217716104,50834.736454086014,62499.12257671944,18546.992695030152,0.0,0.0,0.0,-23934.594750175776,0.0
2030-07-03 06:00:00,0.0,0,0.0,0.0,0.0,0.0,0.0,51914.257641406155,135818.51812905236,56607.7767899435,37915.9874071107,107709.22953322085,31928.92005362577,156561.696393696,25737.18187256957,84011.83306213743,56609.30412930698,18546.992695030152,0.0,0.0,0.0,-14957.219186508795,0.0
2030-07-03 12:00:00,0.0,0,89608.18253672362,0.0,0.0,0.0,0.0,51914.257641406155,110725.26245713259,59439.67794840696,48924.53447246448,128841.656968596,22579.01789188544,165350.20415320824,44265.93900317716,103723.61025030613,38672.27044029436,18546.992695030152,0.0,0.0,0.0,-70767.1165953831,0.0
2030-07-03 18:00:00,0.0,0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,2701.74547284398,3471.103959601093,3610.764606274643,8583.166206373315,43194.9657544157,103711.06128138692,48250.136417767615,70334.30176624884,23024.205492457837,18546.992695030152,0.0,0.0,27095.656395928687,0.0,0.0
2030-07-04 00:00:00,0.0,0,98675.72927520545,32038.7045568228,0.0,0.0,0.0,51914.257641406155,7031.596573508521,1960.8804327688072,857.7108084161507,3101.655309034318,25464.025615814608,75569.74769328858,43523.19734699884,53424.416530437455,21873.2645606123,18546.992695030152,0.0,0.0,28513.049482601768,0.0,0.0
2030-07-04 06:00:00,0.0,0,76796.1526843782,0.0,0.0,0.0,0.0,51914.257641406155,134142.5855814721,81650.65184096314,61808.42761229192,159706.2719667672,12045.70681942725,61276.89442864126,46112.36612826456,32018.04957652102,35932.41054547891,18546.992695030152,0.0,0.0,0.0,0.0,0.0
